<Trait>	Heritability_0.9_Rep_1
X3901	-106.502352109609
X3902	35.3098424737366
X3903	0.0822925375390966
X3904	5.01315189110505
X3905	-81.0988613716432
X3906	31.7911535229147
X3907	-64.1955069472086
X3908	-83.0878205505888
X3909	-30.9420365072057
X3910	-55.1834732564732
X3911	-9.27461343089465
X3912	-46.9038013742559
X3913	-18.7748584858804
X3914	-69.1403431756997
X3915	-6.1831162397516
X3916	31.8360410126233
X3917	20.442643036443
X3918	24.7734297974338
X3919	-99.1890572575971
X3920	35.6313141704702
X3921	33.0292366527369
X3922	-50.1568503176295
X3923	-51.7183686489239
X3924	62.9428088115635
X3925	-28.9523200127737
X3926	-46.1533945515542
X3927	-56.6680543906958
X3928	-47.4531283303773
X3929	-66.1265027499036
X3930	0.479685831121508
X3931	-21.7527411595521
X3932	-18.7049452618138
X3933	46.7631203440153
X3934	54.0035789845816
X3935	32.6587641143034
X3936	-53.0067124983505
X3937	127.36997976916
X3938	36.3068138449635
X3939	2.78019561002001
X3940	0.350733963575173
X3941	16.5369169612069
X3942	43.4609123062283
X3943	55.1836910755742
X3944	43.7168318433655
X3945	21.4082150716088
X3946	6.57981050576737
X3947	-4.36870828842964
X3948	1.96191463501858
X3949	19.4034048033197
X3950	101.097980364873
X3951	121.240526265122
X3952	28.3583624663837
X3953	63.0088797384063
X3954	43.1743080192749
X3955	32.1837349467788
X3956	39.295683205395
X3957	19.0885789421248
X3958	-14.2033876182354
X3959	46.8323426065668
X3960	24.8707980394848
X3961	54.4385259150659
X3962	78.5918976572498
X3963	33.6691825285828
X3964	19.6214588731391
X3965	123.825266398695
X3966	103.015050057562
X3967	16.2636769105942
X3968	-49.2607244062601
X3969	23.7125339363856
X3970	11.3411041902698
X3971	-46.6212872971654
X3972	-6.13381928078151
X3973	-69.0097319707501
X3974	-59.7256651712746
X3975	-1.25421411753028
X3976	-2.9379777450748
X3977	-40.7758830445421
X3978	30.7598300714478
X3979	-32.2119206738647
X3980	5.52064660700692
X3981	48.2359708297707
X3982	-55.8465305894027
X3983	-38.3848619179784
X3984	-44.4018838621074
X3985	-74.1708045435347
X3986	-34.2712670728514
X3987	6.10216437069553
X3988	21.5539785769029
X3989	-67.9853174458523
X3990	11.1099321675935
X3991	-24.3073105019177
X3992	26.2138528201542
X3993	-0.797851501044239
X3994	-52.94768474192
X3995	-53.753510426235
X3996	1.45279439207116
X3997	-42.0108740654052
X3998	-15.3570149461635
X3999	-10.5977001489088
X4000	-6.24937272551078
X4001	-25.3187518656061
X4002	45.9251943546256
X4003	14.520726550556
X4004	51.8891965751259
X4005	-31.911593148433
X4006	11.429206072612
X4007	25.1189478483469
X4008	27.8394349434775
X4009	52.062514075358
X4010	-26.2832285819669
X4011	60.1525120026656
X4012	108.690783141587
X4013	98.5058075893899
X4014	83.9718680290677
X4015	1.66249573862437
X4016	43.5959564551249
X4017	-64.5826269988926
X4018	-24.7024364375027
X4019	-38.5620731072736
X4020	-41.7703707806806
X4021	-30.5993518236055
X4022	-62.8635528970609
X4023	21.6113338219847
X4024	-50.3635544050118
X4025	41.4574989082919
X4026	-81.6927796912046
X4027	12.9150605708845
X4028	-24.5983232396581
X4029	-18.767562700953
X4030	-56.4010972550768
X4031	30.6412935516594
X4032	-49.0393863880312
X4033	-67.9181045600593
X4034	35.3306797121605
X4035	17.5308063873784
X4036	29.4907054936637
X4037	-96.9332134991819
X4038	22.7699180851064
X4039	27.8567502048962
X4040	-82.7536351348335
X4041	-5.37812074071623
X4042	-49.5493879039374
X4043	-18.3349194178836
X4044	27.3328067808416
X4045	-50.106003941744
X4046	11.5324539603921
X4047	-9.40227844353899
X4048	-34.4845027524933
X4049	-54.1191818162773
X4050	-28.0481871997618
X4051	28.7525605463247
X4052	7.414889229807
X4053	33.4753305965699
X4054	-27.1178312674711
X4055	18.3516500493079
X4056	-62.1279782853185
X4057	-71.3140631180125
X4058	-64.2934650292295
X4059	-54.548793237979
X4060	-7.49093094567697
X4061	-4.34276138913474
X4062	-27.1690243503378
X4063	-20.7746733145737
X4064	-44.691485003961
X4065	-31.9180319738606
X4066	36.7048650757635
X4067	59.3738606633277
X4068	-15.1167967014067
X4069	-1.72894958803775
X4070	-49.4949791789899
X4071	24.8454212878675
X4072	-30.6738257592237
X4073	-67.9072787405703
X4074	-2.98066345585072
X4075	0.233195561462733
X4076	1.11558874402825
X4077	-48.7643733356393
X4078	-30.6279629275196
X4079	26.3519044438163
X4080	-39.8808626198646
X4081	-71.3448759528896
X4082	-55.3565272398966
X4083	50.185204299159
X4084	92.7874195085397
X4085	-13.0452839663401
X4086	-18.9852930292855
X4087	22.5825793063608
X4088	2.66547904496838
X4089	-4.35274182526115
X4090	-4.59960731788205
X4091	-3.13675939357166
X4092	79.1932718382839
X4093	35.2979839308469
X4094	74.0455119196543
X4095	104.457186619078
X4096	43.2328282548007
X4097	14.6606206207634
X4098	49.0313498638711
X4099	27.6034000769904
X4100	9.24362311917861
