<Trait>	Trait_1_H2_0.9	Trait_2_H2_0.9	Trait_3_H2_0.9	Trait_4_H2_0.9	Rep
X2448978	-24.1503964558581	2.33352939336535	-48.5285091053349	-10.5758404316275	1
X2457756	-42.4541125649579	1.73611293359007	-47.1021386346017	-2.96628441056558	1
X2458125	26.2858105889399	2.21979722213284	6.93944368269222	-4.53145670350906	1
X2448371	-31.6879726575409	1.60318819029832	-24.1166345713557	1.40513616071316	1
X2450832	-2.71162162624609	0.347395420481519	29.7611337749044	-2.81380958353123	1
X2453678	16.6862055455472	-1.04590808706146	31.7965287133328	-7.74123933733076	1
X2454238	-5.75747423508653	0.786044680452388	-20.3530367522369	-6.78212224407918	1
X2456406	24.6159154060258	0.816188750070846	6.33226660941503	9.27131747108832	1
X2448396	-33.0076670793848	0.433993385452473	-59.4540802797804	3.59501920439608	1
X2470901	-40.0599850067713	0.00788487238659386	-30.5728257311382	-9.0973565414896	1
X2458908	0.722702305812584	0.668803095556021	-6.54200838523019	6.60981936409741	1
X2470838	-34.5530957070577	0.00376220388355059	-15.5201777692481	-10.0770889637257	1
X2469088	-65.8921527891399	-0.233992439573853	-68.380791023606	-7.45433861825652	1
X2470863	-26.7939308660087	0.304891324702839	-28.4781838887115	-12.0235724478736	1
X2486609	-27.3243698509137	1.12999604894553	-5.96339396259048	-7.89447488650347	1
X2421202	-34.152538840414	0.625889163572546	-42.2714097623731	0.504280868839883	1
X2458238	35.0308219294182	1.80821656650133	28.9439535588617	-0.166477267475101	1
X2450353	-54.5798038209264	0.0373412457179877	-56.5593598197056	1.2029953080183	1
X2458215	-11.3646292891678	1.70143787959848	-2.61054279249659	-8.20991470839819	1
X2456233	52.2915875296447	1.2578583573953	41.292630235267	6.36744197110133	1
X2456219	23.2281213847287	1.13400142492427	19.4779207594816	2.80123343023698	1
X2470720	1.00518709398023	0.198534914941858	-17.7978884461046	3.98209555313527	1
X2470712	-46.3041102152056	1.8873105232961	-45.1866950790906	-6.64082841869457	1
X2467368	-71.1454266591541	0.341262600560245	-41.2271417480226	-14.0936488192293	1
