<Trait>	Trait_1_H2_1	Trait_2_H2_1	Trait_3_H2_1	Trait_4_H2_1	Rep
X2923251	-13.9176224200491	0.440725389163332	-15.39217697535	1.03382916613759	1
X2923252	12.1507417829204	2.35158586959824	14.2419728827038	-4.44281696938163	1
X2923253	0.624282151088484	0.440725389163332	1.16659895928592	-0.98304219736076	1
X2923254	-32.7522209648349	-0.924964008242725	-32.9943622509294	1.16710529433727	1
X2923255	-10.7167366920025	4.27070637701131	-16.9196575479718	1.93221447895803	1
X2923256	-12.6012991929757	-0.626446035551466	-7.26327612035204	-4.71157703707225	1
X2923257	18.5571877144848	3.76470324828064	15.8584172461535	-1.06593277994937	1
X2923258	8.35851491936606	2.73064424565606	4.4838687164772	1.14400195723278	1
X2923259	-8.86206059749471	-1.12006849594535	-6.64487881965543	-1.09711328189397	1
X2923260	-2.79748674584896	2.35158586959824	-8.67239482177859	3.52332220633139	1
X2923261	-2.59220368063912	-0.626446035551466	2.06908417699187	-4.03484182207952	1
X2923262	-10.0165784156173	2.64576607845298	-12.123769220779	-0.538575273291264	1
X2923263	-2.17980868844109	3.76470324828064	-7.92531913321992	1.98080719649821	1
X2923264	-15.6630155977745	-1.27376186540342	-9.03612686409863	-5.35312686827253	1
X2923265	-7.55642458878851	2.38746802441302	-11.437246946041	1.4933543328395	1
X2923266	-6.44825704313187	2.63909473538565	-9.88590865739757	0.798556878880058	1
X2923267	-30.8447067811956	0.440725389163332	-29.6477051333533	-1.6377270370057	1
X2923268	7.50117104709775	-0.626446035551466	10.6576848344934	-2.53006775184415	1
X2923269	14.9187679454498	-1.27376186540342	23.2266049313037	-7.0340751204505	1
X2923270	13.9931478560153	-1.27376186540342	19.1666531831921	-3.89974346177333	1
X2923271	16.2692128709057	2.35158586959824	18.9799765452085	-5.06234954390103	1
X2923272	19.9001753564512	2.6544283974338	21.4062635536177	-4.16051659460034	1
X2923273	-12.0845244295057	-1.95998830381499	0.213823709562972	-10.3383598352537	1
X2923274	16.1787867686076	-1.95998830381499	26.7662133745747	-8.62743830215216	1
X2923275	2.89828954024248	-2.31522495906186	25.0385837783319	-19.8250692790274	1
X2923276	11.2447003726745	-2.31522495906186	26.3450518632854	-12.7851265315489	1
X2923277	3.38654242815681	-3.58383174985107	11.2139034714518	-4.24352929344395	1
X2923278	3.2400765982565	-4.67278999353719	15.7731801805421	-7.86031358874832	1
X2923279	7.08803996710967	-3.58383174985107	16.2146198381748	-5.54274812121411	1
X2923280	-8.4326431540385	-0.694642737458372	-3.8074345610716	-3.93056585550852	1
X2923281	1.78282284802634	-1.95998830381499	15.930191875966	-12.1873807241247	1
