<Trait>	Trait_1_H2_0.9	Trait_2_H2_0.9	Trait_3_H2_0.9	Trait_4_H2_0.9	Rep
X2899731	12.8882901391315	1.500911854707	17.6584415229038	0.161662502671455	1
X2899732	18.8995045083927	1.7015829748902	27.456225483609	-4.64452952647262	1
X2899733	29.7980840255104	-1.79165746346315	34.8130533184406	-8.45764509777402	1
X2899734	7.04581460883516	2.90966531013439	-4.13985147163274	6.62293160501668	1
X2899735	1.64925076953795	-0.916596332848377	3.34900280285261	-6.66458516328895	1
X2899736	33.4532259704589	-0.526728746731704	37.825440645235	-7.17580064174305	1
X2899737	18.1769692733268	1.21349031227698	13.9322436397968	-0.803548658365206	1
X2899738	50.238163231045	1.79724587130465	42.0667064612019	-2.91492073870332	1
X2899739	54.0200572247663	-0.180234671459795	60.6038502130828	-12.474965712661	1
X2899740	17.3622576779963	2.12313139869887	7.20736865229637	1.7842466074077	1
X2899741	29.0833151862053	1.02228437556095	23.5870181680393	-2.56958991947969	1
X2899742	5.51173966505508	3.00051958332246	-1.05490864000474	7.03292780895181	1
X2899743	-9.46082785158415	-0.0368125954457864	-7.34615214403551	2.40705552960152	1
X2899744	33.225584742564	-1.6042745672256	38.2732772665448	-7.15822328911033	1
X2899745	42.3305853413563	-3.45059860085514	44.6899145063312	-7.61171717045545	1
X2899746	33.2700258340772	0.308861565947086	24.9505665361264	3.4024879116667	1
X2899747	26.0719328008834	1.029985427536	36.0931406791434	-3.38834524483853	1
X2899748	42.4059125074845	0.796083635251597	44.0779472365922	-4.31197785392995	1
X2899749	36.1883858900204	-2.06743557544738	35.9968735939959	-1.51638807595178	1
X2899750	-5.1335263293149	2.11658508997016	-5.41818688765944	-1.66438732838932	1
X2899751	45.5765590916057	0.179108152541441	61.0278551018213	-0.276314640230725	1
X2899752	54.8563392536928	-0.624827990635692	54.5119319360992	-6.86928236410781	1
X2899753	28.5522389665176	1.54613441409632	24.9228307441368	-0.144893032584251	1
X2899754	7.44834856537744	-0.35272175057659	11.1546415298729	4.1894477535235	1
X2899755	-20.2682022917767	-1.36908048252695	-13.7842003458249	-4.5069440804594	1
X2899756	-1.53276027000693	-2.08829356061821	13.0421448623431	-1.94601502566931	1
X2899757	7.89719024072401	-2.82891187125119	20.4863366536051	-3.41160548963337	1
X2899758	-15.7095938421715	0.127592314083779	-11.7077992552471	4.63055833264853	1
X2899759	-30.8421666234988	-2.1284380029325	-13.8793334954396	-9.90554268448466	1
X2899760	-11.6264444960646	-0.378627210004996	-0.392628820578729	-5.78447401869739	1
X2899761	-16.3873725290098	-0.471519382278462	-10.6808886346112	-2.38875899818863	1
X2899762	-2.1509637144288	-1.91632948127097	18.3432713189642	-10.2386073023142	1
X2899763	7.05508783093577	0.00791821599598017	-2.02101923724676	3.07003662403087	1
X2899764	16.8581447030952	-0.711289176765027	16.4920969881801	0.906971539154589	1
X2899765	-4.92786386825628	1.87760985778443	-6.4554910975372	0.154610762364797	1
X2899766	-25.97454739115	-2.31433479417171	-11.584311147903	-2.61110042222664	1
X2899767	-26.8843538082196	0.0914315120598092	-21.2459198658353	10.7930714506443	1
X2899768	21.7134445220582	0.790969979070768	13.0225753573722	-1.90000392609085	1
X2899769	33.7569951438906	2.02530180841387	27.5571777696233	1.83174487369821	1
X2899770	57.1538529984134	-0.018949989317204	64.1927255570337	-5.69627198323681	1
X2899771	14.7378469203825	0.672501342769847	2.5702237349942	9.37145376763955	1
X2899772	10.7349159776589	2.03210499580549	11.3368888357779	13.087602779351	1
X2899773	15.7344037349207	0.739934689194619	19.0555633321144	0.575126712276188	1
X2899774	26.6615466163122	-1.29869863752672	26.2231065458603	-7.92861078250382	1
X2899775	35.7413072777152	-0.049764158340057	38.3249445133826	-6.03118824628025	1
X2899776	5.45181975056118	0.226084047395215	-7.29011452363763	9.37808034137364	1
X2899777	10.5084743267723	2.61457934128167	-12.2226657980093	3.36494580365708	1
X2899778	21.5160323694122	1.54059114026988	8.4363392763314	9.25736288341182	1
X2899779	22.9493358650414	0.937174916102313	13.7861901698565	6.59999693290569	1
X2899780	37.7789778515879	0.870781868031269	17.0693955534157	10.2804371571332	1
X2899781	34.5164768452215	-2.26258846447059	42.8351680830965	-0.692191501545915	1
X2899782	21.3495173996312	1.36201435123591	16.4519454469443	-0.793007683932349	1
X2899783	14.8769315924974	-0.141583084842785	14.4318725131654	-1.55027033608214	1
X2899784	0.492404547958788	-2.15558667240431	-15.3868076790379	0.269864048302011	1
X2899785	11.041722737019	0.618622980030052	10.1311730708601	6.30901987661105	1
X2899786	12.65608722414	1.34028553762389	4.17364642331851	2.82206456906433	1
X2899787	-17.5660816320488	2.53985144408483	-26.8375505931053	4.64587829881863	1
X2899788	6.09114528824424	1.99049561910698	-4.02686790754371	9.56704630893075	1
X2899789	25.8227265496503	1.44093110679549	5.55883601894753	5.84049111390653	1
X2899790	22.4105917716025	0.655660507829616	36.3242723333548	0.936949761822282	1
X2899791	53.3166053411918	-0.769585723563225	43.2542726539348	0.405616151232005	1
X2899792	23.6778856379854	1.79277459047742	5.11063436141137	7.35423727986281	1
X2899793	15.1722389989961	2.5217392219567	1.52235442852533	11.7921003460441	1
X2899794	23.0792973996399	-0.745601663416461	22.0470501056754	2.09722387286515	1
X2899795	5.40119559879886	1.99843098829313	-6.39778742555443	6.55458867262559	1
X2899796	2.03410967281818	-0.562953674963918	18.0430817887035	-3.78859132305082	1
X2899797	9.29863623566148	2.9752532756179	-3.37233525046665	4.03756067530975	1
X2899798	41.1067796078722	-0.560402250127073	31.6900346811392	7.22439177250396	1
X2899799	24.3705022880014	2.14666749411295	12.8689251706841	1.11683567755463	1
X2899800	-2.93149780088041	-1.32226515023856	-17.4290589123536	-3.394700022865	1
X2899801	7.80120332289724	-2.49270143816289	29.6939148452401	-0.187016107416952	1
X2899802	-12.0892949410609	-0.597197132744078	-6.84200249294353	4.08190690858749	1
X2899803	12.2513562352825	1.45440540800145	3.42749443784473	8.24054785071789	1
X2899804	19.6543117325368	-2.72224489706318	43.2935825825825	-8.97790162388551	1
X2899805	24.8844517945819	-0.162395232474609	21.4124077757501	0.595366730105722	1
X2899806	-19.3398406517363	-2.5741393528276	-12.5009535679348	-0.470103119788676	1
X2899807	10.3821643266087	1.06552209573966	-4.25598313398456	5.81096456564364	1
X2899808	42.5789087640548	1.06483954996302	7.21039714171749	15.2064149035726	1
X2899809	-24.6746332413679	-3.88329142812978	-14.9242434023308	0.103010103059762	1
X2899810	-4.68968470673726	1.30090572813831	2.36610011656924	-2.57400067070648	1
X2899811	18.5570809962764	-3.78364783192954	14.6962890532343	1.22041675040942	1
X2899812	12.9850725651222	-0.872765233411215	15.4416406713207	0.0803469589139159	1
X2899813	-1.64380089468161	0.338271376938514	11.9581502083871	-7.11686336550208	1
X2899814	40.0043719051	0.946428144282234	22.7956433473545	-6.97828095500663	1
X2899815	-14.5932083410485	-0.111563324670678	-9.4056211690844	-4.11289700183056	1
X2899816	20.5389063137927	1.28417836820182	3.63193897792262	4.97187280690279	1
X2899817	5.62809605740358	0.712195119175906	2.99178607488613	3.01315781560295	1
X2899818	17.2612660877648	0.630115233580674	8.93401918895951	0.42725733762862	1
X2899819	-0.625025205627551	-0.656431340846299	-0.940731488241465	-2.9340392305143	1
X2899820	0.245135225067974	3.32011549410242	7.46780701007921	-0.33276448750977	1
X2899821	-11.26959279553	0.137196292181429	-18.3673254973452	-0.175856057459547	1
X2899822	-28.6710854249763	-0.31326205550499	-20.3974983285024	0.870459572611716	1
X2899823	3.61628348059775	-0.473315599487839	-9.05836230421691	-1.92973846668553	1
X2899824	-9.55049316629887	1.48565885180777	-19.5078507152789	-0.0723696518823906	1
X2899825	-23.5610774775167	-1.21861616189016	-15.5094724844718	-10.7122098773073	1
X2899826	-9.29800299622849	-1.20170443906293	0.867605734949876	-4.79659796127512	1
X2899827	1.05811604980163	0.689807511369065	-2.07053780659645	2.96270228141275	1
X2899828	1.47939963927694	1.41408847292063	-16.0923395791528	-0.844530620493635	1
X2899829	-20.9063505242	0.942444694529768	-7.97351268492959	-0.995737808671986	1
X2899830	20.6478104571613	-1.42360376068994	31.9753859922623	-5.51529693778429	1
X2899831	7.1108508883658	0.131606586595064	-10.7483725264463	-7.30162722288861	1
X2899832	-10.8521347631419	-0.148085639428023	-5.51524608732544	-6.33516693388953	1
X2899833	36.0784929625603	2.19641855767281	47.4539294752627	-2.95752933209597	1
X2899834	32.8222976253452	2.02557724662346	27.3616567525039	2.69085690448322	1
X2899835	-10.4240018245884	0.159863361658149	-12.3460823639474	-1.58142449687233	1
X2899836	18.2633323532518	0.655614039230854	32.135916169796	1.0643685288979	1
X2899837	31.225763096781	2.50605112412889	14.205936744209	10.2248872370572	1
X2899838	-20.8081485394244	0.417784321076684	-18.0895867530271	1.02325332039067	1
X2899839	9.13814293807398	0.558022456704718	23.4650072383253	3.72449682545421	1
X2899840	23.7749958984715	1.45386211033595	26.8017249846671	-6.66811411780492	1
X2899841	2.4727564556457	1.2459311195004	7.69107472427183	-2.80368145901993	1
X2899842	33.5193287731385	-0.353219334302376	31.3091572555523	5.77076091357602	1
X2899843	0.470253476335361	-2.4960850737326	-16.9421318718804	-5.34237854383318	1
X2899844	14.174191738766	3.09388047777701	7.25257156996485	3.33656941480758	1
X2899845	6.14107814416598	2.74020701666088	-7.64055987271832	6.74825418131937	1
X2899846	15.5361879887884	-0.197599884949449	10.5102800075529	4.01859757078852	1
X2899847	-2.87315728362385	4.09186216553711	-7.42754771753866	5.48638528599279	1
X2899848	-15.831674514187	-1.248933500361	-15.7068665388457	-10.4569592785955	1
X2899849	-3.6939325766913	1.49817598959206	-8.28419942516319	-2.85296601149215	1
X2899850	41.6831887094136	2.93626992499986	19.4432934717875	0.749436116946397	1
X2899851	-17.4341186030632	3.17706874473781	-25.5965173163326	8.88206121430516	1
X2899852	10.9134437857584	4.37854259507625	9.11967550449135	6.11436651388674	1
X2899853	-26.648391616468	-0.199107562530966	-12.3134926574663	-7.84564225344096	1
X2899854	50.3776233254557	1.14022161960098	44.3581974885413	-0.8779693609034	1
X2899855	47.5005893924135	-1.30628780955593	55.8122472064878	1.93652294855694	1
X2899856	27.7484980029272	0.00085897970940696	39.1239160329575	-5.93472666361351	1
X2899857	9.57692712615033	-1.71993169802356	25.568497024194	-1.77599886947513	1
X2899858	29.6480763026276	3.58188376210308	17.2799289241407	9.1393447770334	1
X2899859	12.7042728126633	-0.687754753845449	9.48366161237038	-5.18453777582217	1
X2899860	28.7709254450903	1.76612036140739	16.2159315169043	-0.576835394639947	1
X2899861	25.2359768679742	0.0486868432134895	24.2706963739052	-7.72354447757117	1
X2899862	20.0890967246713	1.26999266298502	32.904429245697	-3.99357227885586	1
X2899863	49.346274730168	1.96497049739152	55.1854024601004	0.0285667590020497	1
X2899864	25.7028577697997	3.45917329648605	21.908592826556	1.24766350939708	1
X2899865	24.4246807565153	1.92215323686703	15.9159291153079	-1.79011034069799	1
X2899866	51.0657230331104	1.2925378151107	43.4753672735978	-0.88725749022808	1
X2899867	39.6360844791654	3.51242646374768	27.9214535380273	5.66846895045783	1
X2899868	36.1561139969894	1.45679470488072	45.8464336986966	-2.90138405890434	1
X2899869	28.9673042199496	-3.98091145347512	46.5535091739035	-8.55108325468476	1
X2899870	12.4230043275892	0.600083700908233	7.95301431802279	-1.93311018955807	1
X2899871	14.9945406617865	1.76990371857625	-3.54915877529642	-2.92284446106544	1
X2899872	8.18345929781694	0.0380005349041885	-0.421645415507508	0.520923682573685	1
X2899873	20.5821561120873	1.29221829381276	12.0585298995672	-5.76476202533698	1
X2899874	62.7972524190191	-2.07114150837006	62.1199999772771	-8.51513890874147	1
X2899875	8.50226563385551	0.502580973068688	4.68903333226055	-0.990827864430255	1
X2899876	17.6427742297325	3.82032273836597	4.35199011503526	4.60612324231742	1
X2899877	-8.66895764482826	-1.7930684712788	-2.979933451427	-14.0322823248731	1
X2899878	-7.62444084577846	-1.89225625151397	-9.85878683484058	-7.86967831411703	1
X2899879	19.2910310255499	3.28111162763038	16.0158946072093	-0.596527828764792	1
X2899880	7.98479855702002	0.675754263347621	24.4141183966232	-8.92624706301587	1
X2899881	18.4817529991738	-0.83163178398416	27.1847667552221	-2.34729658634414	1
X2899882	16.8188242317018	1.09910279144225	2.32078859131593	2.18984810666074	1
X2899883	18.785454407196	0.729631801188375	9.78662331804465	4.28370410313438	1
