<Trait>	Heritability_0.9_Rep_1
X2486568	-30.4077190400521
X2474483	69.1819665319541
X2487920	17.8498643788143
X2481206	49.2310390341258
X2477451	-39.7563032453027
X2433610	-97.525683497065
X2487856	40.8547296886214
X2481542	-11.0168888528005
X2486215	12.4401386248212
X2474779	70.1632703503461
X2473103	25.5702372299249
X2456515	-19.0650294137242
X2421470	-16.9635129628332
X2476814	-43.1723804255949
X2477712	-67.6106386597153
X2398143	-24.0159405305201
X2422994	-10.9903464092562
X2443459	24.181015735749
X2434065	-36.2203482928463
X2487038	28.7598030544433
X2389408	50.4131256907139
X2475677	-17.0271680798935
X2480456	53.8798540113455
X2474614	-21.896657036917
X2475970	-32.7581012454998
X2476283	-60.7325816047888
X2463894	49.5300607576616
X2458961	-41.6771264623274
X2483998	91.7158050536384
X2476990	-18.2327482720137
X2479994	-77.3664140473108
X2473219	-52.2771182732596
X2424338	37.9732242732733
X2477443	14.5734331972659
X2475887	18.3550552960716
X2477281	-56.3326895736113
X2440121	-28.7710573697743
X2475589	23.5217749770778
X2473805	9.37798147207995
X2443005	-39.6031483420577
X2476318	48.5589608202869
X2480592	55.0196039295477
X2430874	46.4193378173981
X2487899	-12.1377051947729
X2456049	20.2409318905728
X2436633	5.197332894128
X2409673	8.13425716335956
X2442558	-5.54408509999451
X2443299	-45.7022270498948
X2481193	46.4239831720822
X2485904	79.6222536680376
X2476253	-75.7462238575327
X2481211	28.2007190721242
X2475777	75.07873496718
X2487299	18.1542581740588
X2486481	33.3170480243574
X2420552	24.7128162212058
X2440233	-54.6608714612981
X2432499	-8.82261470295664
X2463317	-41.2161790704922
X2443104	3.29277075257553
X2442827	2.76783975984795
X2487900	-60.1109877575113
X2424712	15.7945773538912
X2486478	48.7191346873386
X2436766	28.3069436951213
X2427904	-20.8862378675371
X2481052	72.3581566918776
X2481191	95.2697643469975
X2420832	-68.1563032177957
X2477255	-50.7628202371204
X2474613	-31.2905069131851
X2433818	24.3367822399345
X2476231	38.068752434744
X2481581	1.0058847750241
X2486935	-41.2436877259413
X2478498	19.6687004151607
X2486391	-13.0151319830583
X2478972	21.1292476879503
X2466069	-59.3613082904632
X2474984	-31.6538872746355
X2429480	10.8071976978119
X2486517	-43.4869708066479
X2485910	-28.8643186207987
X2482576	-1.32373306065275
X2479682	16.4462776708878
X2472046	-18.8504386986302
X2461438	-94.7341359390883
X2486994	39.0384376349434
X2472062	-3.90132065248498
X2432874	46.2734110957849
X2480550	59.7935568314952
X2476161	-37.4046028953771
X2430970	-2.79718513691496
X2472801	-6.4359510728214
X2423829	-17.550433060946
X2488667	-6.34794435500907
X2475997	52.2348902867633
X2419587	25.6031317387783
X2488088	-61.899872118158
X2389679	-31.6593747330838
X2484494	-37.528862768191
X2476612	-10.6152911356594
X2477544	-58.206131821064
X2467329	-8.05267932913672
X2480073	-25.1516989887659
X2424327	25.3888903578995
X2488151	-104.143691380185
X2422914	14.9945171115259
X2427595	37.4458419755421
X2420623	13.5974040424447
X2485950	-32.4660977931356
X2446230	-80.1181310894108
X2477891	-81.9178647596769
X2377654	-44.0911837291582
X2485474	-51.5617851530159
X2488257	1.04972019632681
X2485657	-29.8593922529137
X2425842	-10.5231785245353
X2424214	30.1006972923739
X2474641	12.5017878841179
X2472188	-51.9314369096664
X2433577	8.46075816673243
X2477465	-7.68856843330332
X2480934	53.8115901399711
X2389578	-33.4912601984109
X2412175	-1.7630178792744
X2481375	73.1324734242443
X2475250	54.7338211574952
X2481234	-34.530865582602
X2476068	14.9592021946271
X2435590	32.8065785637881
X2480191	-11.8126565931229
X2488229	42.9785258002293
X2472899	-20.8294733312936
X2486578	-28.7299722931378
X2485535	-31.1463613186762
X2472065	-37.9771271282726
X2474831	-75.6112153576392
X2436643	-33.8444234000977
X2486046	-18.0019488059279
X2472520	-42.5914030555951
X2432490	-21.5468827615534
X2435717	28.4521842737185
X2473213	-47.473045069703
X2480978	-2.52086296301853
X2476683	17.3853325489907
X2431134	4.03706306722164
X2405519	29.4163355049368
X2409479	18.035647221718
X2462865	-28.8701368989309
X2487795	1.12463472353634
X2485323	25.5793130803243
X2483982	-12.8001705691492
X2445634	-65.9120616566152
X2486716	-111.523562252027
X2486318	-51.0999819313107
X2484601	20.980352231787
X2423803	24.6150083417574
X2487961	14.9496100111061
X2486986	28.2185464486527
X2473204	-36.9080060560301
X2485975	-32.3590219111872
X2475148	45.3283241860049
X2437002	23.6768257605019
X2484573	28.6498718284612
X2478553	1.47467491708429
X2419467	6.96922611318185
X2474767	-68.0378108457703
X2477595	-1.32049797783772
X2484380	-61.7211628036452
X2424187	-56.3068121764916
X2483638	12.8671221888921
X2480253	-13.4737237063324
X2442854	-35.6881348426383
X2474171	-32.8131800048885
X2487916	23.7264412986509
X2388330	15.1539638419146
X2485788	-11.6522816028925
X2423312	-58.3618450777019
X2476328	3.4424642953419
X2438610	-86.1006456107266
X2455742	21.2593308847255
X2484271	16.7922869206602
X2488409	19.7638721594954
X2447497	15.1932218569218
X2476211	-42.4796138248896
X2443085	-27.1554280154692
X2485258	-88.9993571666661
X2388255	50.1651210649655
X2480906	22.0808977223915
X2451505	21.7529193978913
X2485231	-52.1669918144709
X2476178	-1.62892393254537
X2478527	4.90305595606825
X2485860	-27.2154292299681
X2487502	34.645343547017
X2477512	-60.5577545863019
X2475043	35.627209016118
X2470001	-21.2066456683739
X2424221	-62.191220422994
X2485473	-0.0603478976317735
X2439928	26.7718548320848
X2446075	43.4170190380011
X2487424	63.8359272997441
X2476722	6.97433343808273
X2488647	-145.185386820919
X2483289	-61.6762727717721
X2394169	22.8077300532439
X2475978	28.9358663948154
X2453466	-29.930553361745
X2488384	27.0085824348648
X2445195	77.4442873878216
X2480437	22.0782284633297
X2466247	-113.931328486733
X2427954	16.710704345497
X2436518	0.409836488344908
X2456504	-39.8751981400214
X2433862	-61.7493846653696
