<Trait>	Trait_1_H2_0.9	Trait_2_H2_0.9	Trait_3_H2_0.9	Trait_4_H2_0.9	Rep
X2910931	24.8713761279438	0.797894671907437	24.3796883390317	5.54006316644604	1
X2910932	-1.47457286318204	-2.63270696807061	6.51746802915038	0.285788142535631	1
X2910933	-13.7864279941635	0.613043275202289	-22.108150762166	2.83871343185423	1
X2910934	-7.42338606166319	-1.25172743939986	-9.58482307138514	1.8572642209268	1
X2910935	0.444816675821257	4.14943897539776	-6.31846325419835	-3.27588587533945	1
X2910936	14.0440793380198	-0.0901834121810157	15.0244788108783	-4.70109102210437	1
X2910937	-5.55989713710164	1.04775891324223	-1.50728399343157	-8.088292576072	1
X2910938	-22.3422201073725	2.37425008162985	-26.4022851257615	-7.18138996670082	1
X2910939	9.9339860632834	-0.11691991865562	12.3057352349992	-8.5163607940281	1
X2910940	17.2267223586314	0.526723058668603	11.6213697976025	-1.122612603773	1
X2910941	1.55866845070769	0.479348012583671	-3.85557926795513	-1.85932202863981	1
X2910942	-27.8403423648896	0.424872801854218	-19.0802806107974	-6.08784489829469	1
X2910943	-21.9013361746444	0.2798243706126	-16.490221369484	-1.72647792619805	1
X2910944	-2.11698638999111	2.28215540154671	-3.57320437923318	-4.19312769422058	1
X2910945	-19.2303125961999	-1.36275749859086	-25.1773295788469	-1.1546929950665	1
X2910946	-6.05175705444287	-1.475474646912	1.21022625118865	-10.065983481802	1
X2910947	-31.0847338245566	1.46540967232338	-26.6324695462437	1.72166655719087	1
X2910948	5.42348596728664	0.881145281824853	3.54879839275218	-1.04656523576382	1
X2910949	-21.6416518511572	-2.67799585545209	-14.6315830323217	-7.75039920265471	1
X2910950	-10.7805768803117	-2.20863322652928	-9.32856547560999	0.84196840419736	1
X2910951	-20.4049820870847	-0.476965770811645	-7.84563638576377	2.6941315996318	1
X2910952	12.5417364841008	0.396160726338716	17.5312357669775	-13.2000284500121	1
X2910953	32.6221048252005	-0.142648779860393	27.4427933289155	3.66812657029737	1
X2910954	-10.6906839961691	1.587838114272	-1.81752819593059	-3.14511214171507	1
X2910955	-6.24002241414838	0.540090996420791	3.36547514747204	-9.28736064600042	1
X2910956	-26.1559309214208	0.0736281912509904	-18.4447463611247	2.31237246130131	1
X2910957	-2.52342013408541	-2.57118345949318	8.79478639027402	-2.55928745291923	1
X2910958	-2.18644607825048	0.672796873597049	1.34231792521028	4.00154055001585	1
X2910959	-9.48348649900366	-2.04222586670002	-2.7280715423423	0.357560797227941	1
X2910960	-10.4024370586256	0.57120592089527	-3.67229265093336	-1.60118351390378	1
X2910961	17.8000981094506	-1.12416432735585	28.9135510935034	-7.51121947735718	1
X2910962	6.63361662479435	1.19363018864374	6.81672039499311	6.43015039234314	1
X2910963	32.7794390543575	0.732407564237096	32.2032120697875	-5.51296866691696	1
X2910964	9.50064641589009	-2.26432631129958	2.6829592050068	8.51381863620054	1
X2910965	9.24952545710603	1.74209088573536	11.3245890074986	-3.07169307043302	1
X2910966	18.2245703498934	1.34674030942699	25.7552626218226	-0.253600551562173	1
X2910967	26.1321118277902	1.3702938053361	37.9144605995889	2.22921603958451	1
X2910968	8.48140607805665	-1.49592548346522	-7.21861815626685	7.84210527266682	1
X2910969	28.8770815073381	1.32967660252709	27.7932028433156	-2.41870683965188	1
X2910970	27.0665432796214	5.42162695391726	23.7779659056511	-0.826795944202033	1
X2910971	30.7763284772404	-0.155956549004825	19.8617167312052	9.07230141851314	1
X2910972	-0.745841640011193	1.95654625113456	4.94592643986354	7.05728306006786	1
X2910973	11.751468075214	3.14575404924914	14.1608387952303	-0.979779403370293	1
X2910974	17.1800947184794	0.931405221377887	12.4685759990982	-5.24677969291345	1
X2910975	1.06287681351968	1.37315507771795	-2.55960871005101	-1.47048251793169	1
X2910976	17.0071897547368	-2.79935705993668	5.31397024657816	11.4352247303774	1
X2910977	-1.34371623380798	2.23517967006007	-2.36697448499951	-16.5185682463076	1
X2910978	3.29108349329318	-2.27705762778257	3.45750237415001	-0.204806902894927	1
X2910979	45.5861107796889	3.29133796351993	32.4394082174064	7.88880922427202	1
X2910980	57.4397982202438	4.09877981229954	32.7533152243919	11.1072018523785	1
X2910981	6.2555811185596	-2.6783854793083	12.3644907570187	1.43293242350487	1
X2910982	19.5278725962134	3.37243711335603	7.13299531700053	5.00263537270613	1
X2910983	25.6418444835906	-2.9585574420363	24.9338456987819	1.62138073215843	1
X2910984	59.3429171506997	-2.96281731869154	37.283740068841	7.77019881787113	1
X2910985	-14.2646643632111	-2.85342514537397	-6.15479809034988	0.530572063798676	1
X2910986	-14.088178863586	0.727209070023125	-15.5538814460072	-2.8459801338502	1
X2910987	35.9025149988113	3.38778954436796	25.1181508089768	5.36445223238172	1
X2910988	4.99920475393777	-2.52666168970518	1.75768080536152	7.29573032890152	1
X2910989	67.6967695682975	3.97164851102076	48.4707107497893	2.84715671852128	1
X2910990	-12.4692873370158	2.99768450555572	1.69714378234235	-2.37579222721313	1
X2910991	28.1714527834999	-0.116519424072026	18.6485493373659	-0.57669203999774	1
X2910992	45.9864277108031	-1.67754603661719	31.3812227929888	7.64794356641214	1
X2910993	-8.40153359160528	-2.01592455403402	-9.69539508774008	4.1707052206368	1
X2910994	22.5384694130848	1.40794455520074	13.968564931266	7.08955191320133	1
X2910995	17.0858226837142	0.237704220560245	15.4044836956476	-1.69642524402335	1
X2910996	-25.0186890465549	-3.06265329293428	-14.3827840821791	3.84600937599544	1
X2910997	38.764399373113	1.29395635770113	24.3291192056841	7.45725384589118	1
X2910998	-7.56818575079522	-2.86817951942491	-7.34281537672043	-0.418259972327857	1
X2910999	23.9837119500779	0.01372265899525	12.8890024593782	3.49112673819972	1
X2911000	13.0819265328585	-0.103617804111896	-9.12346101044712	4.5072345299487	1
X2911001	-0.372343187646042	-3.44549379409381	11.3268936339252	9.67083631667728	1
X2911002	3.30504837103345	-0.416387266602809	10.4529132790841	1.40067659498004	1
X2911003	24.6567002461431	0.670752188186346	12.6340303722953	12.2645483409727	1
X2911004	-4.34310864540001	2.91862465605826	5.22807629849388	-1.1724254213476	1
X2911005	23.2736616051733	0.931915524387419	20.4767007153162	-0.998419484021529	1
X2911006	18.6982915029348	1.60013319161768	9.59894087379995	11.2036811749137	1
X2911007	7.18953392395173	-1.36460697084967	2.8751015770228	-1.55454129798774	1
X2911008	19.8746088978266	-3.01547484459063	-0.744706792058647	5.27734052055354	1
X2911009	1.39485666081792	-3.96814678982666	0.847300558457631	10.1311113830379	1
