<Trait>	Trait_1_H2_1	Trait_2_H2_1	Trait_3_H2_1	Trait_4_H2_1	Rep
X2486568	-34.5843993361588	2.96711924879473	-30.1244284928926	-7.42709009206105	1
X2474483	57.7956745616942	1.87385759987609	37.5129057173322	18.4089112444859	1
X2487920	8.39689786407239	1.87385759987609	-0.13656014991497	6.65960041411118	1
X2481206	26.4548347604802	6.0714181472962	6.01421417498252	14.3692024382014	1
X2477451	-21.7278976778488	1.87385759987609	-24.166633399904	0.564878122179003	1
X2433610	-89.8911349611101	1.87385759987609	-101.145569296243	9.38057673525688	1
X2487856	40.0568359152558	4.78533381750916	17.5117071511631	17.7597949465834	1
X2481542	8.20823395904074	-2.4876242537077	4.47078755957992	6.22507065316846	1
X2486215	9.81013334171756	-4.58225018613301	28.759562919506	-14.3671793916553	1
X2474779	69.8050828039039	4.78533381750916	47.5855243579334	17.4342246284616	1
X2473103	32.2088580522328	-2.4876242537077	43.0565992238196	-8.36011691787902	1
X2456515	-13.160051030611	4.78533381750916	-19.1017432864743	1.15635843835387	1
X2421470	-23.1047982456662	1.6390452107294	-22.0603143875611	-2.68352906883447	1
X2476814	-62.3051504548434	-2.4876242537077	-62.136289861914	2.31876366077823	1
X2477712	-67.6846537055273	-2.4876242537077	-70.1829479343854	4.98591848256577	1
X2398143	-25.8034399394157	2.78160354612416	-13.3485756742438	-15.236467811296	1
X2422994	-25.1694399857452	1.87385759987609	-40.7837548846534	13.7404572990321	1
X2443459	31.012337469721	-0.891618395574589	27.8629362974359	4.04101956785969	1
X2434065	-40.5023002278837	2.89545371712488	-53.2568979590895	9.85914401408104	1
X2487038	35.3243361521113	1.87385759987609	20.8833201581645	12.5671583940708	1
X2389408	29.9892422125692	1.87385759987609	25.9672333771372	2.14815123555596	1
X2475677	-3.82803543629486	1.87385759987609	-1.14832853767994	-4.55356449849091	1
X2480456	34.6064763746136	6.0714181472962	30.6025886897078	-2.06753046239043	1
X2474614	-6.12595457377829	1.87385759987609	-19.7325877624922	11.7327755888378	1
X2475970	-22.4820333074833	3.33042485019971	-49.9594055029137	24.1469473452307	1
X2476283	-83.7716561418437	-2.4876242537077	-83.7766655412256	2.49263365308932	1
X2463894	75.5308868408561	1.6390452107294	63.0063232207122	10.8855184094148	1
X2458961	-59.503716517615	4.78533381750916	-67.1206708965291	2.83162056140474	1
X2483998	81.5997562826834	2.89545371712488	68.164137618966	10.5401649465924	1
X2476990	-12.5902775964996	-4.58225018613301	0.178427712617446	-8.18645512298407	1
X2479994	-71.4750511252954	-4.58225018613301	-75.7981759735656	8.90537503440298	1
X2473219	-42.1215263882023	1.87385759987609	-49.2586794478596	5.26329545978112	1
X2424338	18.1846565178539	1.87385759987609	8.07539703357239	8.23540188440536	1
X2477443	23.3446339392364	4.78533381750916	10.3267758404519	8.23252428127526	1
X2475887	6.21940864345543	-0.768385503163918	10.7224132407977	-3.7346190941783	1
X2477281	-41.5320885904223	-2.4876242537077	-30.7798559182366	-8.26460841847812	1
X2440121	-44.4678613967897	1.6390452107294	-53.6224899402667	7.51558333274784	1
X2475589	20.7677353666575	3.33042485019971	21.7100321348355	-4.27272161837757	1
X2473805	1.1744467663525	-4.71485830379783	14.1653183139669	-8.27601324381642	1
X2443005	-19.5426017119346	-0.768385503163918	-33.778705060172	15.0044888514013	1
X2476318	38.5225738289934	-4.58225018613301	43.4300512737977	-0.325227258671183	1
X2480592	59.2901083796912	6.0714181472962	46.1772586095929	7.04143162280196	1
X2430874	53.6740068967718	4.78533381750916	23.210542752396	25.6781303268666	1
X2487899	-20.9889474319941	2.89545371712488	-26.118562553012	2.23416140389293	1
X2456049	16.6311110029065	0.955217388761591	20.2532671895617	-4.57737357541681	1
X2436633	1.00243030218787	1.62899105838533	6.68021177293624	-7.30677252913358	1
X2409673	6.71905466107378	0.132879882817637	12.0130162835093	-5.42684150525331	1
X2442558	-34.6915577963858	-2.47533986844653	-25.6506652098564	-6.56555271808283	1
X2443299	-50.3165903281331	-2.47533986844653	-42.2387112891365	-5.60253917055012	1
X2481193	45.0254306912605	6.0714181472962	33.0343973635192	5.91961518044503	1
X2485904	65.9640664933631	1.87385759987609	56.2281470281297	7.86206186535757	1
X2476253	-76.299383173388	-3.14719110163883	-78.7944677457572	5.64227567400758	1
X2481211	27.5899766597571	4.78533381750916	10.2829476640417	12.5216951782064	1
X2475777	69.019180703334	3.33042485019971	69.822281674257	-4.13352582112235	1
X2487299	27.1275220932413	3.82506223718219	27.5353819972039	-4.23292214114461	1
X2486481	29.6041229280713	4.78533381750916	20.6083748467754	4.21041426378653	1
X2420552	17.3936785099924	-2.4876242537077	26.198705865845	-6.31740310214495	1
X2440233	-20.9881181652361	-4.58225018613301	-13.6921494195001	-2.71371855960301	1
X2432499	-4.21675190683788	1.87385759987609	-15.6019125674905	9.51130306077653	1
X2463317	-31.1579335205908	1.87385759987609	-40.7960358597669	7.76424473930001	1
X2443104	-0.896106285756113	-0.465294464962519	2.79787468354239	-3.22868650433606	1
X2442827	-5.82900871291018	2.30345496888418	-1.62220844036919	-6.51025524142519	1
X2487900	-53.264379469784	1.87385759987609	-69.4207508620376	14.2825137923774	1
X2424712	14.4943595087204	1.6390452107294	18.2332982842579	-5.37798398626698	1
X2486478	65.7387893781479	4.78533381750916	46.656699446056	14.2967561145825	1
X2436766	17.9361674152202	-2.00101204774289	10.8664499875658	9.07072947539714	1
X2427904	-15.966913505716	4.78533381750916	-18.7495955605458	-2.00265176267938	1
X2481052	61.7940418477066	0.967772561508998	69.7959490513118	-8.96967976511451	1
X2481191	86.4312445139703	3.33042485019971	66.9846989080596	16.1161207557109	1
X2420832	-59.3830381378906	2.78160354612416	-54.5701532455285	-7.5944884384863	1
X2477255	-56.9956031345002	1.62899105838533	-45.5644582703617	-13.0601359225237	1
X2474613	-29.5492603318949	1.87385759987609	-41.7018221628119	10.2787042310409	1
X2433818	27.5462524256712	1.32105710996028	24.7841996040556	1.44099571165545	1
X2476231	46.2743299193748	-0.465294464962519	47.2491546520797	-0.509530267742409	1
X2481581	7.73387726986374	4.87515543970901	-22.8436830491649	25.7024048793197	1
X2486935	-29.7825557836495	3.33042485019971	-48.0120699583168	14.8990893244677	1
X2478498	16.9333037136331	1.62899105838533	26.0232166939027	-10.718904038655	1
X2486391	-15.6328516912507	4.78533381750916	-27.2224676577688	6.80428214900895	1
X2478972	17.4751749356523	-4.26221909006206	36.2827957048386	-14.5454016791242	1
X2466069	-56.5204504965286	-3.49582603382237	-47.2774102639283	-5.74721419877769	1
X2474984	-13.5799364976359	-4.71485830379783	-11.799564671345	2.93448647750701	1
X2429480	-8.4791444238974	-4.71485830379783	-16.5475261640239	12.7832400439242	1
X2486517	-53.6300011614168	2.89545371712488	-62.3271527220967	5.80169784355508	1
X2485910	-36.7749385340899	1.87385759987609	-52.3153968058705	13.6666006719045	1
X2482576	-21.8778736542928	2.78160354612416	-26.5426596945836	1.8831824941667	1
X2479682	13.9010488967499	-4.08110561324856	26.9822985133753	-9.00014400337672	1
X2472046	-29.1787515276781	-4.58225018613301	-19.4199397912252	-5.17656155031975	1
X2461438	-72.4840264565151	2.78160354612416	-73.9354993300404	-1.33013067259886	1
X2486994	44.7146044689059	4.78533381750916	39.7132017997483	0.216068851648447	1
X2472062	-29.2058826001493	-4.58225018613301	-20.8124148509773	-3.81121756303874	1
X2432874	59.2985400818396	0.602261106113435	56.2332444581733	2.46303451755257	1
X2480550	59.138581519638	-0.768385503163918	48.8508961754482	11.0560708473539	1
X2476161	-25.5470751500212	4.78533381750916	-28.5071256216532	-1.82528334587742	1
X2430970	-7.36768017772576	-4.22741282140315	-5.73771868530699	2.59745132898449	1
X2472801	-8.926700343139	-4.58225018613301	-0.0027064852016716	-4.34174367180437	1
X2423829	-21.6316553287029	1.87385759987609	-42.850690138714	19.345177210135	1
X2488667	1.88955643986672	-4.58225018613301	8.55449533834544	-2.08268871234583	1
X2475997	46.9148681329792	6.0714181472962	26.8574560385284	13.985993947155	1
X2419587	28.710203234823	-1.55057425861287	53.8289613598676	-23.5681838664318	1
X2488088	-48.1449258743924	0.132879882817637	-41.3088439613182	-6.96896179589191	1
X2389679	-18.9798481500806	2.96711924879473	-12.6875036642961	-9.25946373457927	1
X2484494	-43.9914068591141	2.96711924879473	-33.7590012514388	-13.19952485647	1
X2476612	-19.6281144235104	-4.58225018613301	-26.1445439316201	11.0986796942429	1
X2477544	-58.3524889973415	-2.4876242537077	-49.6071486494602	-6.25771609417354	1
X2467329	6.84683390658495	3.82506223718219	-1.08831221156158	4.11008388096432	1
X2480073	-13.5570058171972	-4.58225018613301	-17.31958007775	8.34482444668581	1
X2424327	22.0215845099231	1.32105710996028	23.0169040950821	-2.31637669511915	1
X2488151	-92.8576870751908	-4.58225018613301	-83.4656861817841	-4.80975070727366	1
X2422914	19.3166477679496	6.0714181472962	0.385678661270592	12.8595509593828	1
X2427595	31.3855259834451	0.132879882817637	19.3928301404838	11.8598159601438	1
X2420623	5.48936413366382	1.87385759987609	-5.07384136830756	8.68934790209532	1
X2485950	-50.1426740369549	1.87385759987609	-67.2088911977161	15.1923595608852	1
X2446230	-62.6251815572987	2.89545371712488	-63.1037765249621	-2.41685874946138	1
X2477891	-82.2926707203239	-4.58225018613301	-60.3413108013294	-17.3691097328613	1
X2377654	-37.9555919928399	1.03850167719514	-16.3252789512448	-22.6688147187902	1
X2485474	-49.2052120330346	-3.14719110163883	-45.4312014850096	-0.626819446386172	1
X2488257	34.789230309908	4.78533381750916	20.8205512090374	9.18334528336143	1
X2485657	-27.5978151705825	-2.4876242537077	-13.1049270109666	-12.0052639059083	1
X2425842	10.3669820252698	-3.55310021179052	31.8462162571588	-17.9261340200986	1
X2424214	34.5610971829577	1.87385759987609	15.3130559133708	17.3741836697107	1
X2474641	14.0004399241086	1.87385759987609	-16.3462384516105	28.4728207758431	1
X2472188	-31.0349758270485	-4.26221909006206	-7.49824317803811	-19.2745135589482	1
X2433577	-4.38491876537631	-2.4876242537077	4.99383459842539	-6.8911291100941	1
X2477465	12.4516517229251	4.78533381750916	3.02731376014993	4.63900414526585	1
X2480934	55.9549009856115	4.78533381750916	45.6576782171114	5.51188895099058	1
X2389578	-46.9212376709921	6.0714181472962	-64.0457340630547	11.0530782447659	1
X2412175	-10.6553828670112	0.967772561508998	-16.1184448777863	4.49528944926606	1
X2481375	56.3369391177407	6.0714181472962	38.9089002236677	11.3566207467767	1
X2475250	58.0773659382534	6.0714181472962	49.1486849672324	2.85726282372461	1
X2481234	-37.4650706758815	3.33042485019971	-57.0189034580739	16.2234079319927	1
X2476068	28.8205716046861	4.78533381750916	20.9689749587289	3.06626282844802	1
X2435590	40.3817350860467	0.132879882817637	21.2407034871374	19.0081517160917	1
X2480191	-25.4981116177206	-4.58225018613301	-17.8475147973019	-3.06834663428584	1
X2488229	40.9876333944779	4.78533381750916	32.8678873287003	3.3344122482684	1
X2472899	-23.2005226083775	1.87385759987609	-26.3535606843388	1.27918047608521	1
X2486578	-62.7956917324394	2.89545371712488	-64.3913806072253	-1.2997648423389	1
X2485535	-25.1165849155078	-4.58225018613301	-23.2434607542159	2.70912602484089	1
X2472065	-50.0419150225405	-4.58225018613301	-35.5812288581465	-9.8784359782609	1
X2474831	-74.7899860726988	-3.14719110163883	-80.3520972593504	8.70930228829065	1
X2436643	-16.8041410290437	0.132879882817637	-5.92364744503045	-11.0133734668308	1
X2486046	-22.1096903464928	1.87385759987609	-23.2506088963658	-0.732939050003156	1
X2472520	-54.7420891996393	-3.14719110163883	-57.0847688993202	5.4898708013197	1
X2432490	-40.5209750325468	1.87385759987609	-36.7236761473724	-5.6711564850503	1
X2435717	16.3208021236747	1.87385759987609	9.42337780688016	5.02356671691845	1
X2473213	-40.4648405100902	-4.58225018613301	-45.2523755028719	9.36978517891471	1
X2480978	-7.82816879310198	4.78533381750916	-23.4764949162222	10.8629923056111	1
X2476683	-4.78152632607666	-4.58225018613301	3.07125972091453	-3.27053586085826	1
X2431134	-12.6933162764588	-3.14719110163883	-9.83649469872213	0.290369523902098	1
X2405519	14.5916986537477	-2.17080275654471	23.9917942503652	-7.22929284007279	1
X2409479	7.83975490594756	0.967772561508998	10.5699348067709	-3.69795246233209	1
X2462865	-19.6290838472032	-2.4429968296262	-18.1423371362063	0.956250118629276	1
X2487795	-5.89113343079266	1.87385759987609	-13.3815220402293	5.6165310095605	1
X2485323	20.4249397195493	4.78533381750916	7.4707299511817	8.16887595085833	1
X2483982	-29.6240638462236	2.89545371712488	-5.1454977611066	-27.3740198022419	1
X2445634	-63.4215324842961	-2.4876242537077	-63.1640735954658	2.23016536487757	1
X2486716	-114.531184232249	-2.4876242537077	-118.805380566317	6.76182058777538	1
X2486318	-51.8835723626658	1.87385759987609	-69.226605099579	15.4691751370371	1
X2484601	6.12401740738093	4.78533381750916	-6.65619659382032	7.99488018369191	1
X2423803	25.2337913379507	1.87385759987609	4.95471977378652	18.4052139642881	1
X2487961	6.2958754558349	1.87385759987609	-2.85681422184994	7.27883207780879	1
X2486986	29.0694378194755	1.87385759987609	23.3425133028442	3.85306691675528	1
X2473204	-26.2840316754334	1.87385759987609	-28.0397570840477	-0.118132191261813	1
X2485975	-27.2107370612385	1.87385759987609	-36.7832151931945	7.69862053207976	1
X2475148	42.3569940517677	3.33042485019971	42.5160461792975	-3.48947697772947	1
X2437002	29.4838400011386	0.132879882817637	12.8564361828046	16.4945239355162	1
X2484573	11.6843094247848	2.89545371712488	12.9818863801519	-4.19303067249222	1
X2478553	-16.865227848666	1.62899105838533	-9.03913228896678	-9.45508661808448	1
X2419467	-16.7041099211109	-4.58225018613301	-1.20258581856094	-10.9192739164171	1
X2474767	-58.6384020506525	-4.71485830379783	-55.4799350969805	1.55639135012562	1
X2477595	-5.65127676747814	0.132879882817637	-2.8000098890076	-2.9841467612881	1
X2484380	-62.1104003694866	2.89545371712488	-69.7281323992855	4.72227831267394	1
X2424187	-55.2947489420777	0.132879882817637	-47.5967185497784	-7.83091027511695	1
X2483638	9.00556090292487	-2.4876242537077	21.682921850738	-10.1897366941054	1
X2480253	-5.62737064150303	-4.08110561324856	2.74624749274613	-4.29251252100056	1
X2442854	-21.591786833238	-2.47533986844653	-16.7413870123534	-2.37505995243806	1
X2474171	-27.4744290230365	-4.71485830379783	-31.7526693888061	8.99309866956759	1
X2487916	2.90836649625569	1.87385759987609	-13.7162709744139	14.7507798707936	1
