Infor,Time,Elapsed
GAPIT,1723066459.09867,0
Genotype start,1723066459.42152,0.322849988937378
Genotype loaded,1723066459.72532,0.303800106048584
GT created from GD),1723066460.31726,0.591939926147461
Sampling genotype,1723066460.61616,0.29889988899231
Before SUPER,1723066460.9151,0.298940181732178
Before creating kinship,1723066461.2184,0.303299903869629
Estimating kinship,1723066463.08222,1.86382007598877
after creating kinship,1723066463.3831,0.300879955291748
Before LD plot,1723066463.68489,0.301789999008179
after LD plot,1723066463.99217,0.30728006362915
Genotype for all,1723066464.29257,0.300400018692017
QC,1723066466.2538,1.96122980117798
SagnwichTop,1723066466.55577,0.3019700050354
DataProcessing,1723066466.8573,0.301530122756958
CP start,1723066467.15621,0.298909902572632
Does this change memory0,1723066467.45009,0.293879985809326
CP distance,1723066467.74764,0.297549962997437
CP cluster,1723066468.15452,0.406880140304565
CP cutree,1723066468.44196,0.287440061569214
CP calculation original,1723066468.75929,0.317329883575439
CP calculation,1723066469.05544,0.296149969100952
PreP3D 2_cp,1723066469.35711,0.301670074462891
PreP3D 2_bk,1723066469.68431,0.327199935913086
PreP3D 2_zc,1723066470.1302,0.445889949798584
Prio PreP3D,1723066470.41702,0.28682017326355
P3D Start,1723066470.72218,0.3051598072052
eig.L,1723066471.01591,0.293730020523071
eig.R,1723066471.31135,0.295440196990967
Trait,1723066471.60663,0.295279979705811
REMLE removed,1723066471.9041,0.297469854354858
U Matrix,1723066472.20242,0.298320055007935
eig.L removed,1723066472.79332,0.59089994430542
New Genotype file,1723066473.08446,0.291140079498291
Before cleaning,1723066473.38675,0.302289962768555
After cleaning,1723066473.97468,0.587929964065552
Memory allocation,1723066474.2738,0.29911994934082
Screening SNPs,1723066474.63405,0.360249996185303
GWAS done for this Trait,1723066474.92447,0.290420055389404
Post PreP3D,1723066475.22325,0.298779964447021
GWAS,1723066475.51368,0.290430068969727
Final,1723066476.07833,0.564650058746338
GPS,1723066476.3723,0.293969869613647
Compression.Visualization,1723066476.67071,0.298410177230835
Extract p3d results,1723066476.96353,0.292819976806641
Extract GWAS start,1723066477.26705,0.30351996421814
MAF filtered,1723066477.55873,0.291679859161377
Multiple Correction,1723066477.85384,0.29511022567749
QQ plot,1723066478.15659,0.302749872207642
Manhattan plot,1723066478.48304,0.326450109481812
Extract GWAS end,1723066478.77613,0.293089866638184
Report,1723066479.06955,0.293420076370239
