Infor,Time,Elapsed
GAPIT,1723065020.0333,0
Genotype start,1723065020.31909,0.285789966583252
Genotype loaded,1723065020.6019,0.282810211181641
GT created from GD),1723065021.13128,0.529379844665527
Sampling genotype,1723065021.40177,0.270490169525146
Before SUPER,1723065021.67825,0.276479959487915
Before creating kinship,1723065021.94331,0.265059947967529
Estimating kinship,1723065023.85796,1.91464996337891
after creating kinship,1723065024.13838,0.280420064926147
Before LD plot,1723065024.41816,0.27977991104126
after LD plot,1723065024.68756,0.269400119781494
Genotype for all,1723065024.96298,0.275419950485229
QC,1723065027.03908,2.07609987258911
SagnwichTop,1723065027.32972,0.290640115737915
DataProcessing,1723065027.6096,0.279880046844482
CP start,1723065027.88595,0.276350021362305
Does this change memory0,1723065028.16583,0.279879808425903
CP distance,1723065028.44868,0.282850027084351
CP cluster,1723065028.85206,0.403380155563354
CP cutree,1723065029.13538,0.28331995010376
CP calculation original,1723065029.44645,0.311069965362549
CP calculation,1723065029.7369,0.290450096130371
PreP3D 2_cp,1723065030.01504,0.27813982963562
PreP3D 2_bk,1723065030.31147,0.296430110931396
PreP3D 2_zc,1723065030.75326,0.441789865493774
Prio PreP3D,1723065031.03447,0.28121018409729
P3D Start,1723065031.32061,0.286139965057373
eig.L,1723065031.60001,0.279399871826172
eig.R,1723065031.87548,0.275470018386841
Trait,1723065032.16014,0.28466010093689
REMLE removed,1723065032.4415,0.281359910964966
U Matrix,1723065032.72208,0.280580043792725
eig.L removed,1723065033.26781,0.545730113983154
New Genotype file,1723065033.54787,0.280059814453125
Before cleaning,1723065033.83468,0.286810159683228
After cleaning,1723065034.36992,0.535239934921265
Memory allocation,1723065034.65164,0.281719923019409
Screening SNPs,1723065035.0043,0.352660179138184
GWAS done for this Trait,1723065035.27681,0.272509813308716
Post PreP3D,1723065035.55992,0.28311014175415
GWAS,1723065035.84468,0.284759998321533
Final,1723065036.38821,0.543529987335205
GPS,1723065036.66463,0.276419878005981
Compression.Visualization,1723065036.94778,0.28314995765686
Extract p3d results,1723065037.22309,0.275310039520264
Extract GWAS start,1723065037.51055,0.287460088729858
MAF filtered,1723065037.80199,0.291440010070801
Multiple Correction,1723065038.0872,0.285209894180298
QQ plot,1723065038.38004,0.292840003967285
Manhattan plot,1723065038.69318,0.313140153884888
Extract GWAS end,1723065038.97789,0.284709930419922
Report,1723065039.26268,0.2847900390625
