Infor,Time,Elapsed
GAPIT,1710773182.73944,0
Genotype start,1710773183.17704,0.437600135803223
Genotype loaded,1710773183.55401,0.376969814300537
GT created from GD),1710773184.19251,0.638499975204468
Sampling genotype,1710773184.51685,0.324340105056763
Before SUPER,1710773184.83803,0.321180105209351
Before creating kinship,1710773185.16438,0.326349973678589
Estimating kinship,1710773187.08988,1.92549991607666
after creating kinship,1710773187.4125,0.322619915008545
Before LD plot,1710773187.72983,0.317330121994019
after LD plot,1710773188.04159,0.311759948730469
Genotype for all,1710773188.36835,0.326760053634644
QC,1710773190.49228,2.12392997741699
SagnwichTop,1710773190.81408,0.321799993515015
DataProcessing,1710773191.13673,0.322649955749512
CP start,1710773191.46491,0.328180074691772
Does this change memory0,1710773191.79096,0.326050043106079
CP distance,1710773192.11861,0.327649831771851
CP cluster,1710773192.54644,0.42782998085022
CP cutree,1710773192.86766,0.32122015953064
CP calculation original,1710773193.22725,0.35959005355835
CP calculation,1710773193.55319,0.325939893722534
PreP3D 2_cp,1710773193.88317,0.32997989654541
PreP3D 2_bk,1710773194.22225,0.339080095291138
PreP3D 2_zc,1710773194.69914,0.476890087127686
Prio PreP3D,1710773195.02355,0.324409961700439
P3D Start,1710773195.35894,0.335389852523804
eig.L,1710773195.67956,0.320620059967041
eig.R,1710773196.00988,0.330320119857788
Trait,1710773196.32559,0.315709829330444
REMLE removed,1710773196.6552,0.329610109329224
U Matrix,1710773196.98432,0.329119920730591
eig.L removed,1710773197.63629,0.651970148086548
New Genotype file,1710773197.96065,0.324359893798828
Before cleaning,1710773198.30144,0.340790033340454
After cleaning,1710773198.94579,0.644350051879883
Memory allocation,1710773199.2685,0.322710037231445
Screening SNPs,1710773199.67659,0.408089876174927
GWAS done for this Trait,1710773199.99889,0.322299957275391
Post PreP3D,1710773200.33718,0.338289976119995
GWAS,1710773200.66715,0.329970121383667
Final,1710773201.29388,0.626729965209961
GPS,1710773201.6215,0.327620029449463
Compression.Visualization,1710773201.94622,0.324719905853271
Extract p3d results,1710773202.27281,0.326590061187744
Extract GWAS start,1710773202.59383,0.321020126342773
MAF filtered,1710773202.91628,0.322449922561646
Multiple Correction,1710773203.24357,0.327290058135986
QQ plot,1710773203.57655,0.332979917526245
Manhattan plot,1710773203.92967,0.353120088577271
Extract GWAS end,1710773204.25293,0.323259830474854
Report,1710773204.58213,0.329200029373169
