Infor,Time,Elapsed
GAPIT,1711041499.99454,0
Genotype start,1711041500.88695,0.892410039901733
Genotype loaded,1711041501.27969,0.39274001121521
GT created from GD),1711041501.97956,0.699869871139526
Sampling genotype,1711041502.33285,0.35329008102417
Before SUPER,1711041502.68408,0.351229906082153
Before creating kinship,1711041503.0381,0.354020118713379
Estimating kinship,1711041505.33973,2.3016300201416
after creating kinship,1711041505.70026,0.360529899597168
Before LD plot,1711041506.06393,0.363670110702515
after LD plot,1711041506.42457,0.360640048980713
Genotype for all,1711041506.77787,0.353299856185913
QC,1711041510.21287,3.43499994277954
SagnwichTop,1711041510.58115,0.368280172348022
DataProcessing,1711041510.99401,0.412859916687012
CP start,1711041511.53926,0.545249938964844
Does this change memory0,1711041511.90378,0.364520072937012
CP distance,1711041512.2622,0.358420133590698
CP cluster,1711041512.72639,0.464189767837524
CP cutree,1711041513.08388,0.357490062713623
CP calculation original,1711041513.48044,0.396559953689575
CP calculation,1711041513.83648,0.356040000915527
PreP3D 2_cp,1711041514.20289,0.36641001701355
PreP3D 2_bk,1711041514.61237,0.409480094909668
PreP3D 2_zc,1711041515.16689,0.554519891738892
Prio PreP3D,1711041515.52887,0.361980199813843
P3D Start,1711041516.94754,1.41866993904114
eig.L,1711041517.34454,0.397000074386597
eig.R,1711041517.75637,0.411829948425293
Trait,1711041518.14082,0.38444995880127
REMLE removed,1711041518.51864,0.377820014953613
U Matrix,1711041518.89443,0.375789880752563
eig.L removed,1711041519.64802,0.753590106964111
New Genotype file,1711041520.03021,0.382189989089966
Before cleaning,1711041520.4133,0.383090019226074
After cleaning,1711041521.17238,0.759079933166504
Memory allocation,1711041521.54883,0.376450061798096
Screening SNPs,1711041522.02436,0.475529909133911
GWAS done for this Trait,1711041522.3965,0.372140169143677
Post PreP3D,1711041522.76822,0.371719837188721
GWAS,1711041523.14574,0.377520084381104
Final,1711041523.86518,0.71943998336792
GPS,1711041524.23185,0.366669893264771
Compression.Visualization,1711041524.93804,0.70619010925293
Extract p3d results,1711041525.31885,0.380810022354126
Extract GWAS start,1711041525.70635,0.387500047683716
MAF filtered,1711041526.08719,0.380839824676514
Multiple Correction,1711041526.48078,0.393589973449707
QQ plot,1711041526.90129,0.420510053634644
Manhattan plot,1711041527.38838,0.487090110778809
Extract GWAS end,1711041527.7688,0.380419969558716
Report,1711041528.1694,0.400599956512451
