Infor,Time,Elapsed
GAPIT,1711113959.3919,0
Genotype start,1711113959.77319,0.381289958953857
Genotype loaded,1711113960.12528,0.352089881896973
GT created from GD),1711113960.81201,0.686730146408081
Sampling genotype,1711113961.15914,0.347130060195923
Before SUPER,1711113961.51092,0.351779937744141
Before creating kinship,1711113961.85762,0.346699953079224
Estimating kinship,1711113964.67341,2.81578993797302
after creating kinship,1711113965.02261,0.349200010299683
Before LD plot,1711113965.37269,0.350080013275146
after LD plot,1711113965.72271,0.350019931793213
Genotype for all,1711113966.07285,0.35014009475708
QC,1711113968.20495,2.13210010528564
SagnwichTop,1711113968.56094,0.355989933013916
DataProcessing,1711113968.91569,0.354749917984009
CP start,1711113969.26769,0.351999998092651
Does this change memory0,1711113969.62321,0.355520009994507
CP distance,1711113969.97852,0.355309963226318
CP cluster,1711113970.43543,0.456910133361816
CP cutree,1711113970.78652,0.351089954376221
CP calculation original,1711113971.16043,0.373909950256348
CP calculation,1711113971.50433,0.343899965286255
PreP3D 2_cp,1711113971.84304,0.338710069656372
PreP3D 2_bk,1711113972.22287,0.379830121994019
PreP3D 2_zc,1711113972.71962,0.496749877929688
Prio PreP3D,1711113973.08858,0.368959903717041
P3D Start,1711113973.46945,0.38087010383606
eig.L,1711113973.82109,0.351639986038208
eig.R,1711113974.17378,0.352689981460571
Trait,1711113974.52271,0.34893012046814
REMLE removed,1711113974.8656,0.342890024185181
U Matrix,1711113975.20147,0.335869789123535
eig.L removed,1711113975.89101,0.689540147781372
New Genotype file,1711113976.24335,0.35233998298645
Before cleaning,1711113976.61685,0.373499870300293
After cleaning,1711113977.29108,0.674230098724365
Memory allocation,1711113977.6329,0.341820001602173
Screening SNPs,1711113978.28941,0.6565101146698
GWAS done for this Trait,1711113978.6463,0.356889963150024
Post PreP3D,1711113978.98623,0.339929819107056
GWAS,1711113979.33012,0.343890190124512
Final,1711113979.98149,0.65136981010437
GPS,1711113980.32369,0.342200040817261
Compression.Visualization,1711113980.6684,0.344710111618042
Extract p3d results,1711113981.01124,0.342839956283569
Extract GWAS start,1711113981.35882,0.347579956054688
MAF filtered,1711113981.71795,0.359130144119263
Multiple Correction,1711113982.05854,0.340590000152588
QQ plot,1711113982.44053,0.3819899559021
Manhattan plot,1711113982.8733,0.432770013809204
Extract GWAS end,1711113983.23842,0.365119934082031
Report,1711113983.58638,0.347959995269775
