Infor,Time,Elapsed
GAPIT,1723065039.6076,0
Genotype start,1723065039.90201,0.294409990310669
Genotype loaded,1723065040.18469,0.282680034637451
GT created from GD),1723065040.72603,0.541340112686157
Sampling genotype,1723065041.01432,0.288289785385132
Before SUPER,1723065041.3072,0.292880058288574
Before creating kinship,1723065041.58919,0.281990051269531
Estimating kinship,1723065043.95397,2.36477994918823
after creating kinship,1723065044.24699,0.293020009994507
Before LD plot,1723065044.53056,0.283570051193237
after LD plot,1723065044.81412,0.283560037612915
Genotype for all,1723065045.10148,0.287359952926636
QC,1723065047.27695,2.17546987533569
SagnwichTop,1723065047.57523,0.298280000686646
DataProcessing,1723065047.87209,0.296860218048096
CP start,1723065048.16373,0.291639804840088
Does this change memory0,1723065048.45533,0.291599988937378
CP distance,1723065048.75578,0.300450086593628
CP cluster,1723065049.16558,0.409800052642822
CP cutree,1723065049.46717,0.301589965820312
CP calculation original,1723065049.77402,0.306849956512451
CP calculation,1723065050.05003,0.276010036468506
PreP3D 2_cp,1723065050.33888,0.288850069046021
PreP3D 2_bk,1723065050.63966,0.300779819488525
PreP3D 2_zc,1723065051.08643,0.446770191192627
Prio PreP3D,1723065051.36214,0.275709867477417
P3D Start,1723065051.65122,0.289080142974854
eig.L,1723065051.94288,0.291659832000732
eig.R,1723065052.23437,0.291490077972412
Trait,1723065052.51844,0.284070014953613
REMLE removed,1723065052.8111,0.292659997940063
U Matrix,1723065053.1079,0.296799898147583
eig.L removed,1723065053.67688,0.568979978561401
New Genotype file,1723065053.98552,0.308640003204346
Before cleaning,1723065054.2895,0.303980112075806
After cleaning,1723065054.86358,0.574079990386963
Memory allocation,1723065055.15569,0.292109966278076
Screening SNPs,1723065055.56033,0.404639959335327
GWAS done for this Trait,1723065055.8484,0.288070201873779
Post PreP3D,1723065056.14346,0.2950599193573
GWAS,1723065056.43334,0.289880037307739
Final,1723065057.00305,0.56971001625061
GPS,1723065057.30523,0.30217981338501
Compression.Visualization,1723065057.60928,0.304050207138062
Extract p3d results,1723065057.90422,0.294939994812012
Extract GWAS start,1723065058.20782,0.303599834442139
MAF filtered,1723065058.51808,0.310260057449341
Multiple Correction,1723065058.81016,0.292079925537109
QQ plot,1723065059.10556,0.295400142669678
Manhattan plot,1723065059.44057,0.335010051727295
Extract GWAS end,1723065059.74674,0.306169986724854
Report,1723065060.05903,0.312289953231812
