Infor,Time,Elapsed
GAPIT,1723065060.40753,0
Genotype start,1723065060.70703,0.299499988555908
Genotype loaded,1723065060.98971,0.282680034637451
GT created from GD),1723065061.54641,0.556699991226196
Sampling genotype,1723065061.82805,0.281639814376831
Before SUPER,1723065062.11099,0.282940149307251
Before creating kinship,1723065062.38933,0.278339862823486
Estimating kinship,1723065064.62026,2.23093008995056
after creating kinship,1723065064.91708,0.296819925308228
Before LD plot,1723065065.20103,0.283950090408325
after LD plot,1723065065.50581,0.304780006408691
Genotype for all,1723065065.79853,0.292720079421997
QC,1723065068.16724,2.36870980262756
SagnwichTop,1723065068.46249,0.295250177383423
DataProcessing,1723065068.75273,0.290239810943604
CP start,1723065069.03974,0.287010192871094
Does this change memory0,1723065069.32149,0.281749963760376
CP distance,1723065069.60633,0.284839868545532
CP cluster,1723065070.01375,0.40742015838623
CP cutree,1723065070.30075,0.286999940872192
CP calculation original,1723065070.60572,0.304970026016235
CP calculation,1723065070.89018,0.284460067749023
PreP3D 2_cp,1723065071.17271,0.282529830932617
PreP3D 2_bk,1723065071.4799,0.30718994140625
PreP3D 2_zc,1723065071.93325,0.453350067138672
Prio PreP3D,1723065072.21165,0.27839994430542
P3D Start,1723065072.5069,0.295250177383423
eig.L,1723065072.79877,0.291869878768921
eig.R,1723065073.09609,0.297320127487183
Trait,1723065073.392,0.295909881591797
REMLE removed,1723065073.68596,0.293960094451904
U Matrix,1723065073.97561,0.289649963378906
eig.L removed,1723065074.56047,0.58486008644104
New Genotype file,1723065074.862,0.301529884338379
Before cleaning,1723065075.18819,0.326189994812012
After cleaning,1723065075.78033,0.592139959335327
Memory allocation,1723065076.08064,0.300310134887695
Screening SNPs,1723065076.48694,0.406299829483032
GWAS done for this Trait,1723065076.79108,0.304140090942383
Post PreP3D,1723065077.09496,0.303879976272583
GWAS,1723065077.39383,0.298870086669922
Final,1723065077.97522,0.581389904022217
GPS,1723065078.27742,0.302200078964233
Compression.Visualization,1723065078.58512,0.307699918746948
Extract p3d results,1723065078.88574,0.300620079040527
Extract GWAS start,1723065079.19722,0.311480045318604
MAF filtered,1723065079.50495,0.307729959487915
Multiple Correction,1723065079.81558,0.310629844665527
QQ plot,1723065080.1196,0.304020166397095
Manhattan plot,1723065080.44741,0.327810049057007
Extract GWAS end,1723065080.73793,0.290519952774048
Report,1723065081.02969,0.291759967803955
