Infor,Time,Elapsed
GAPIT,1710773204.96411,0
Genotype start,1710773205.28658,0.322470188140869
Genotype loaded,1710773205.61375,0.327169895172119
GT created from GD),1710773206.24259,0.62883996963501
Sampling genotype,1710773206.56304,0.320450067520142
Before SUPER,1710773206.88801,0.324970006942749
Before creating kinship,1710773207.21156,0.32354998588562
Estimating kinship,1710773209.18965,1.9780900478363
after creating kinship,1710773209.52093,0.331279993057251
Before LD plot,1710773209.84151,0.320580005645752
after LD plot,1710773210.16839,0.326879978179932
Genotype for all,1710773210.49528,0.326889991760254
QC,1710773212.60477,2.10948991775513
SagnwichTop,1710773212.93109,0.326320171356201
DataProcessing,1710773213.25693,0.325839996337891
CP start,1710773213.58461,0.327679872512817
Does this change memory0,1710773213.90451,0.319900035858154
CP distance,1710773214.22623,0.321719884872437
CP cluster,1710773214.66194,0.435710191726685
CP cutree,1710773214.99076,0.328819990158081
CP calculation original,1710773215.34455,0.353789806365967
CP calculation,1710773215.67352,0.328970193862915
PreP3D 2_cp,1710773215.99688,0.323359966278076
PreP3D 2_bk,1710773216.34114,0.344259977340698
PreP3D 2_zc,1710773216.81142,0.470279932022095
Prio PreP3D,1710773217.13667,0.325250148773193
P3D Start,1710773217.47103,0.334359884262085
eig.L,1710773217.78906,0.318030118942261
eig.R,1710773218.11128,0.322219848632812
Trait,1710773218.43309,0.321810007095337
REMLE removed,1710773218.75501,0.321919918060303
U Matrix,1710773219.07546,0.320450067520142
eig.L removed,1710773219.72486,0.649399995803833
New Genotype file,1710773220.0533,0.328439950942993
Before cleaning,1710773220.39387,0.340570211410522
After cleaning,1710773221.05112,0.657249927520752
Memory allocation,1710773221.38102,0.329900026321411
Screening SNPs,1710773221.82183,0.440809965133667
GWAS done for this Trait,1710773222.14728,0.32544994354248
Post PreP3D,1710773222.47941,0.332129955291748
GWAS,1710773222.8081,0.328690052032471
Final,1710773223.43468,0.626579999923706
GPS,1710773223.7587,0.324019908905029
Compression.Visualization,1710773224.08591,0.327210187911987
Extract p3d results,1710773224.40774,0.321830034255981
Extract GWAS start,1710773224.73432,0.326579809188843
MAF filtered,1710773225.06135,0.327030181884766
Multiple Correction,1710773225.38443,0.323079824447632
QQ plot,1710773225.72232,0.337890148162842
Manhattan plot,1710773226.08573,0.363409996032715
Extract GWAS end,1710773226.41258,0.326849937438965
Report,1710773226.74799,0.335409879684448
