Infor,Time,Elapsed
GAPIT,1711113983.97296,0
Genotype start,1711113984.38386,0.410900115966797
Genotype loaded,1711113984.73383,0.349969863891602
GT created from GD),1711113985.40562,0.67179012298584
Sampling genotype,1711113985.73857,0.332949876785278
Before SUPER,1711113986.08656,0.347990036010742
Before creating kinship,1711113986.4195,0.332940101623535
Estimating kinship,1711113989.0513,2.63179993629456
after creating kinship,1711113989.40133,0.350029945373535
Before LD plot,1711113989.74677,0.345439910888672
after LD plot,1711113990.09527,0.34850001335144
Genotype for all,1711113990.43994,0.344670057296753
QC,1711113992.63107,2.19112992286682
SagnwichTop,1711113992.97544,0.344370126724243
DataProcessing,1711113993.32266,0.347219944000244
CP start,1711113993.68325,0.360589981079102
Does this change memory0,1711113994.03545,0.352200031280518
CP distance,1711113994.38759,0.352139949798584
CP cluster,1711113994.83851,0.450920104980469
CP cutree,1711113995.17926,0.340749979019165
CP calculation original,1711113995.54552,0.366260051727295
CP calculation,1711113995.88717,0.341650009155273
PreP3D 2_cp,1711113996.22882,0.341650009155273
PreP3D 2_bk,1711113996.58491,0.35608983039856
PreP3D 2_zc,1711113997.07448,0.489570140838623
Prio PreP3D,1711113997.41322,0.33873987197876
P3D Start,1711113997.79216,0.378940105438232
eig.L,1711113998.14168,0.349519968032837
eig.R,1711113998.48794,0.346260070800781
Trait,1711113998.83477,0.346829891204834
REMLE removed,1711113999.18103,0.346260070800781
U Matrix,1711113999.52219,0.34116005897522
eig.L removed,1711114000.18432,0.662129878997803
New Genotype file,1711114000.53008,0.345760107040405
Before cleaning,1711114000.91489,0.384809970855713
After cleaning,1711114001.57343,0.658540010452271
Memory allocation,1711114001.91399,0.340559959411621
Screening SNPs,1711114002.60914,0.695149898529053
GWAS done for this Trait,1711114002.98286,0.373720169067383
Post PreP3D,1711114003.3284,0.345539808273315
GWAS,1711114003.68047,0.352070093154907
Final,1711114004.34048,0.660010099411011
GPS,1711114004.67954,0.339059829711914
Compression.Visualization,1711114005.0284,0.348860025405884
Extract p3d results,1711114005.36865,0.340250015258789
Extract GWAS start,1711114005.72014,0.351490020751953
MAF filtered,1711114006.06016,0.340019941329956
Multiple Correction,1711114006.41059,0.350430011749268
QQ plot,1711114006.78633,0.375740051269531
Manhattan plot,1711114007.21658,0.430249929428101
Extract GWAS end,1711114007.57362,0.357040166854858
Report,1711114007.9247,0.351079940795898
