Infor,Time,Elapsed
GAPIT,1710773339.61772,0
Genotype start,1710773339.94678,0.329060077667236
Genotype loaded,1710773340.26955,0.322770118713379
GT created from GD),1710773340.91018,0.640630006790161
Sampling genotype,1710773341.23543,0.325249910354614
Before SUPER,1710773341.55541,0.319979906082153
Before creating kinship,1710773341.88685,0.331440210342407
Estimating kinship,1710773344.34063,2.45377993583679
after creating kinship,1710773344.66597,0.325340032577515
Before LD plot,1710773344.98881,0.322839975357056
after LD plot,1710773345.31171,0.32289981842041
Genotype for all,1710773345.63749,0.325780153274536
QC,1710773347.76863,2.1311399936676
SagnwichTop,1710773348.10017,0.331539869308472
DataProcessing,1710773348.4305,0.33033013343811
CP start,1710773348.7586,0.328099966049194
Does this change memory0,1710773349.08379,0.32519006729126
CP distance,1710773349.39808,0.314290046691895
CP cluster,1710773349.83449,0.436409950256348
CP cutree,1710773350.15094,0.316449880599976
CP calculation original,1710773350.50003,0.349090099334717
CP calculation,1710773350.82068,0.320649862289429
PreP3D 2_cp,1710773351.14546,0.324779987335205
PreP3D 2_bk,1710773351.48445,0.338990211486816
PreP3D 2_zc,1710773351.97143,0.486979961395264
Prio PreP3D,1710773352.2899,0.318470001220703
P3D Start,1710773352.64131,0.351409912109375
eig.L,1710773352.96332,0.322010040283203
eig.R,1710773353.28651,0.323189973831177
Trait,1710773353.60647,0.319960117340088
REMLE removed,1710773353.92843,0.321959972381592
U Matrix,1710773354.24695,0.318519830703735
eig.L removed,1710773354.87361,0.626660108566284
New Genotype file,1710773355.1922,0.318589925765991
Before cleaning,1710773355.54942,0.35722017288208
After cleaning,1710773356.17303,0.623609781265259
Memory allocation,1710773356.49517,0.322140216827393
Screening SNPs,1710773357.16928,0.674109935760498
GWAS done for this Trait,1710773357.50101,0.331729888916016
Post PreP3D,1710773357.8236,0.322590112686157
GWAS,1710773358.13871,0.315109968185425
Final,1710773358.76567,0.626960039138794
GPS,1710773359.0965,0.330829858779907
Compression.Visualization,1710773359.42252,0.326020002365112
Extract p3d results,1710773359.74833,0.325810194015503
Extract GWAS start,1710773360.07589,0.327559947967529
MAF filtered,1710773360.39905,0.32315993309021
Multiple Correction,1710773360.72019,0.321140050888062
QQ plot,1710773361.06564,0.345449924468994
Manhattan plot,1710773361.46827,0.402630090713501
Extract GWAS end,1710773361.80651,0.338239908218384
Report,1710773362.12949,0.322979927062988
