Infor,Time,Elapsed
GAPIT,1723065081.38287,0
Genotype start,1723065081.6864,0.303529977798462
Genotype loaded,1723065081.97537,0.288969993591309
GT created from GD),1723065082.52817,0.552800178527832
Sampling genotype,1723065082.80726,0.27908992767334
Before SUPER,1723065083.09536,0.288100004196167
Before creating kinship,1723065083.3857,0.290339946746826
Estimating kinship,1723065085.34873,1.96303009986877
after creating kinship,1723065085.64103,0.29229998588562
Before LD plot,1723065085.92553,0.284499883651733
after LD plot,1723065086.21007,0.284539937973022
Genotype for all,1723065086.49297,0.282900094985962
QC,1723065088.63734,2.14437007904053
SagnwichTop,1723065088.92359,0.286249876022339
DataProcessing,1723065089.23874,0.315150022506714
CP start,1723065089.5422,0.303460121154785
Does this change memory0,1723065089.85171,0.309509992599487
CP distance,1723065090.14855,0.296839952468872
CP cluster,1723065090.56468,0.416130065917969
CP cutree,1723065090.87378,0.309099912643433
CP calculation original,1723065091.186,0.312220096588135
CP calculation,1723065091.47377,0.287769794464111
PreP3D 2_cp,1723065091.78253,0.308760166168213
PreP3D 2_bk,1723065092.08394,0.301409959793091
PreP3D 2_zc,1723065092.52186,0.437919855117798
Prio PreP3D,1723065092.79757,0.275710105895996
P3D Start,1723065093.08567,0.288100004196167
eig.L,1723065093.37929,0.293620109558105
eig.R,1723065093.66082,0.281529903411865
Trait,1723065093.93401,0.273190021514893
REMLE removed,1723065094.21171,0.277699947357178
U Matrix,1723065094.48621,0.274500131607056
eig.L removed,1723065095.03114,0.544929981231689
New Genotype file,1723065095.31514,0.283999919891357
Before cleaning,1723065095.60204,0.286900043487549
After cleaning,1723065096.1642,0.562160015106201
Memory allocation,1723065096.43943,0.275229930877686
Screening SNPs,1723065096.81344,0.37401008605957
GWAS done for this Trait,1723065097.08956,0.276119947433472
Post PreP3D,1723065097.37821,0.288650035858154
GWAS,1723065097.65985,0.281639814376831
Final,1723065098.20389,0.544040203094482
GPS,1723065098.48478,0.280889987945557
Compression.Visualization,1723065098.72352,0.238739967346191
Extract p3d results,1723065099.00299,0.279469966888428
Extract GWAS start,1723065099.29195,0.288959980010986
MAF filtered,1723065099.57155,0.279599905014038
Multiple Correction,1723065099.8539,0.282350063323975
QQ plot,1723065100.14224,0.288340091705322
Manhattan plot,1723065100.45896,0.316720008850098
Extract GWAS end,1723065100.7528,0.293839931488037
Report,1723065101.0339,0.281100034713745
