Infor,Time,Elapsed
GAPIT,1723065101.37211,0
Genotype start,1723065101.66822,0.296110153198242
Genotype loaded,1723065101.96707,0.298850059509277
GT created from GD),1723065102.51128,0.544209957122803
Sampling genotype,1723065102.79111,0.279829978942871
Before SUPER,1723065103.07593,0.284820079803467
Before creating kinship,1723065103.36272,0.286789894104004
Estimating kinship,1723065105.52912,2.16639995574951
after creating kinship,1723065105.82316,0.294039964675903
Before LD plot,1723065106.11847,0.295310020446777
after LD plot,1723065106.42227,0.303800106048584
Genotype for all,1723065106.72326,0.300989866256714
QC,1723065109.22066,2.4974000453949
SagnwichTop,1723065109.52036,0.299700021743774
DataProcessing,1723065109.82203,0.301670074462891
CP start,1723065110.12105,0.299019813537598
Does this change memory0,1723065110.4218,0.300750017166138
CP distance,1723065110.71585,0.294050216674805
CP cluster,1723065111.12629,0.410439968109131
CP cutree,1723065111.41509,0.288800001144409
CP calculation original,1723065111.71467,0.299579858779907
CP calculation,1723065112.00102,0.286350011825562
PreP3D 2_cp,1723065112.28121,0.280189990997314
PreP3D 2_bk,1723065112.59566,0.314450025558472
PreP3D 2_zc,1723065113.04752,0.451859951019287
Prio PreP3D,1723065113.34997,0.302450180053711
P3D Start,1723065113.66474,0.314769983291626
eig.L,1723065113.96217,0.297429800033569
eig.R,1723065114.29048,0.328310012817383
Trait,1723065114.61614,0.325659990310669
REMLE removed,1723065115.24864,0.632500171661377
U Matrix,1723065115.56829,0.319649934768677
eig.L removed,1723065116.12567,0.557379961013794
New Genotype file,1723065116.43181,0.306139945983887
Before cleaning,1723065116.76874,0.3369300365448
After cleaning,1723065117.36265,0.593909978866577
Memory allocation,1723065117.66887,0.306220054626465
Screening SNPs,1723065118.08329,0.414420127868652
GWAS done for this Trait,1723065118.38086,0.297569990158081
Post PreP3D,1723065118.67804,0.297179937362671
GWAS,1723065118.96956,0.2915198802948
Final,1723065119.57342,0.603860139846802
GPS,1723065119.92469,0.351269960403442
Compression.Visualization,1723065120.25707,0.332380056381226
Extract p3d results,1723065120.66261,0.405539989471436
Extract GWAS start,1723065120.96496,0.302350044250488
MAF filtered,1723065121.26057,0.295609951019287
Multiple Correction,1723065121.55638,0.295809984207153
QQ plot,1723065121.93272,0.376339912414551
Manhattan plot,1723065122.26559,0.332870006561279
Extract GWAS end,1723065122.5607,0.295109987258911
Report,1723065122.85134,0.290640115737915
