Infor,Time,Elapsed
GAPIT,1723227919.1527,0
Genotype start,1723227919.4991,0.346400022506714
Genotype loaded,1723227919.83549,0.336390018463135
GT created from GD),1723227920.49749,0.661999940872192
Sampling genotype,1723227920.82887,0.331380128860474
Before SUPER,1723227921.15828,0.329409837722778
Before creating kinship,1723227921.48694,0.328660011291504
Estimating kinship,1723227924.04206,2.55511999130249
after creating kinship,1723227924.3895,0.347440004348755
Before LD plot,1723227924.72646,0.336960077285767
after LD plot,1723227925.05696,0.33050012588501
Genotype for all,1723227925.38536,0.328399896621704
QC,1723227927.53547,2.1501100063324
SagnwichTop,1723227927.87117,0.335700035095215
DataProcessing,1723227928.21185,0.340679883956909
CP start,1723227928.55614,0.344290018081665
Does this change memory0,1723227928.89312,0.336980104446411
CP distance,1723227929.22726,0.334140062332153
CP cluster,1723227929.67047,0.443209886550903
CP cutree,1723227930.00846,0.337990045547485
CP calculation original,1723227930.37767,0.369210004806519
CP calculation,1723227930.71578,0.338109970092773
PreP3D 2_cp,1723227931.05349,0.337709903717041
PreP3D 2_bk,1723227931.40156,0.34807014465332
PreP3D 2_zc,1723227931.88317,0.48160982131958
Prio PreP3D,1723227932.22354,0.340370178222656
P3D Start,1723227932.60069,0.377149820327759
eig.L,1723227932.93741,0.33672022819519
eig.R,1723227933.26791,0.330499887466431
Trait,1723227933.60627,0.338360071182251
REMLE removed,1723227933.93879,0.332520008087158
U Matrix,1723227934.27873,0.339939832687378
eig.L removed,1723227934.9139,0.635169982910156
New Genotype file,1723227935.25824,0.344340085983276
Before cleaning,1723227935.62889,0.370650053024292
After cleaning,1723227936.28856,0.659669876098633
Memory allocation,1723227936.64615,0.357590198516846
Screening SNPs,1723227937.31589,0.669739961624146
GWAS done for this Trait,1723227937.67545,0.359560012817383
Post PreP3D,1723227938.01268,0.33722996711731
GWAS,1723227938.35094,0.338259935379028
Final,1723227939.00489,0.653949975967407
GPS,1723227939.34677,0.341880083084106
Compression.Visualization,1723227939.68529,0.338520050048828
Extract p3d results,1723227940.02375,0.338459968566895
Extract GWAS start,1723227940.36491,0.341159820556641
MAF filtered,1723227940.70683,0.341920137405396
Multiple Correction,1723227941.05744,0.350610017776489
QQ plot,1723227941.43032,0.372879981994629
Manhattan plot,1723227941.87737,0.447050094604492
Extract GWAS end,1723227942.22701,0.349639892578125
Report,1723227942.56222,0.335210084915161
