Infor,Time,Elapsed
GAPIT,1710513154.38688,0
Genotype start,1710513154.72242,0.335540056228638
Genotype loaded,1710513155.05605,0.333630084991455
GT created from GD),1710513155.70507,0.649019956588745
Sampling genotype,1710513156.0447,0.339629888534546
Before SUPER,1710513156.38621,0.341510057449341
Before creating kinship,1710513156.72176,0.33555006980896
Estimating kinship,1710513158.6634,1.94163990020752
after creating kinship,1710513158.99246,0.329060077667236
Before LD plot,1710513159.32262,0.330159902572632
after LD plot,1710513159.64479,0.32217001914978
Genotype for all,1710513159.96993,0.325139999389648
QC,1710513162.08206,2.1121301651001
SagnwichTop,1710513162.41376,0.331699848175049
DataProcessing,1710513162.74729,0.333529949188232
CP start,1710513163.0807,0.333410024642944
Does this change memory0,1710513163.42123,0.340530157089233
CP distance,1710513163.73733,0.316099882125854
CP cluster,1710513164.18807,0.450740098953247
CP cutree,1710513164.52847,0.340399980545044
CP calculation original,1710513164.89622,0.367749929428101
CP calculation,1710513165.2186,0.322380065917969
PreP3D 2_cp,1710513165.52816,0.309560060501099
PreP3D 2_bk,1710513165.85502,0.326859951019287
PreP3D 2_zc,1710513166.31762,0.462599992752075
Prio PreP3D,1710513166.63266,0.315039873123169
P3D Start,1710513166.96035,0.327690124511719
eig.L,1710513167.2769,0.316550016403198
eig.R,1710513167.58841,0.311509847640991
Trait,1710513167.90249,0.314079999923706
REMLE removed,1710513168.20666,0.30417013168335
U Matrix,1710513168.50902,0.302360057830811
eig.L removed,1710513169.12892,0.619899988174438
New Genotype file,1710513169.44684,0.317919969558716
Before cleaning,1710513169.76556,0.318719863891602
After cleaning,1710513170.41776,0.652199983596802
Memory allocation,1710513170.71376,0.296000003814697
Screening SNPs,1710513171.11131,0.397550106048584
GWAS done for this Trait,1710513171.4242,0.31289005279541
Post PreP3D,1710513171.73015,0.305949926376343
GWAS,1710513172.03565,0.305500030517578
Final,1710513172.64515,0.609499931335449
GPS,1710513172.96029,0.315140008926392
Compression.Visualization,1710513173.27836,0.318069934844971
Extract p3d results,1710513173.61958,0.341220140457153
Extract GWAS start,1710513173.94532,0.325739860534668
MAF filtered,1710513174.2675,0.322180032730103
Multiple Correction,1710513174.58202,0.314520120620728
QQ plot,1710513174.89288,0.31085991859436
Manhattan plot,1710513175.2453,0.352420091629028
Extract GWAS end,1710513175.56617,0.320869922637939
Report,1710513175.88162,0.315449953079224
