Infor,Time,Elapsed
GAPIT,1710773362.62897,0
Genotype start,1710773362.95358,0.324609994888306
Genotype loaded,1710773363.27345,0.319869995117188
GT created from GD),1710773363.91283,0.639380216598511
Sampling genotype,1710773364.23514,0.322309970855713
Before SUPER,1710773364.5557,0.320559978485107
Before creating kinship,1710773364.87779,0.322089910507202
Estimating kinship,1710773367.21726,2.33946990966797
after creating kinship,1710773367.53974,0.322480201721191
Before LD plot,1710773367.85541,0.315670013427734
after LD plot,1710773368.18228,0.326869964599609
Genotype for all,1710773368.50498,0.322700023651123
QC,1710773370.60653,2.10154986381531
SagnwichTop,1710773370.93582,0.329290151596069
DataProcessing,1710773371.26068,0.324859857559204
CP start,1710773371.59527,0.334589958190918
Does this change memory0,1710773371.92225,0.326980113983154
CP distance,1710773372.23804,0.315789937973022
CP cluster,1710773372.67344,0.435400009155273
CP cutree,1710773372.99355,0.320110082626343
CP calculation original,1710773373.36299,0.369439840316772
CP calculation,1710773373.69399,0.331000089645386
PreP3D 2_cp,1710773374.04173,0.347739934921265
PreP3D 2_bk,1710773374.41986,0.378129959106445
PreP3D 2_zc,1710773374.92006,0.500200033187866
Prio PreP3D,1710773375.27138,0.351320028305054
P3D Start,1710773375.65374,0.382359981536865
eig.L,1710773375.99723,0.343490123748779
eig.R,1710773376.32203,0.32480001449585
Trait,1710773376.63345,0.31141996383667
REMLE removed,1710773376.95125,0.317800045013428
U Matrix,1710773377.25691,0.305660009384155
eig.L removed,1710773377.86558,0.608669996261597
New Genotype file,1710773378.19042,0.32483983039856
Before cleaning,1710773378.54383,0.353410005569458
After cleaning,1710773379.18979,0.645960092544556
Memory allocation,1710773379.51504,0.325249910354614
Screening SNPs,1710773380.20993,0.694890022277832
GWAS done for this Trait,1710773380.54857,0.338639974594116
Post PreP3D,1710773380.87928,0.330710172653198
GWAS,1710773381.20045,0.321169853210449
Final,1710773381.83219,0.631740093231201
GPS,1710773382.1615,0.329309940338135
Compression.Visualization,1710773382.49218,0.330680131912231
Extract p3d results,1710773382.821,0.328819990158081
Extract GWAS start,1710773383.14544,0.324440002441406
MAF filtered,1710773383.4636,0.318159818649292
Multiple Correction,1710773383.79432,0.330720186233521
QQ plot,1710773384.14406,0.349739789962769
Manhattan plot,1710773384.56856,0.424499988555908
Extract GWAS end,1710773384.9203,0.351740121841431
Report,1710773385.25793,0.337630033493042
