Infor,Time,Elapsed
GAPIT,1711114008.32011,0
Genotype start,1711114008.67748,0.357369899749756
Genotype loaded,1711114009.01565,0.338170051574707
GT created from GD),1711114009.67778,0.662129878997803
Sampling genotype,1711114010.01778,0.340000152587891
Before SUPER,1711114010.35938,0.341599941253662
Before creating kinship,1711114010.6992,0.33981990814209
Estimating kinship,1711114013.20804,2.50884008407593
after creating kinship,1711114013.5532,0.345160007476807
Before LD plot,1711114013.8888,0.335599899291992
after LD plot,1711114014.2332,0.34440016746521
Genotype for all,1711114014.57847,0.345269918441772
QC,1711114016.77097,2.19250011444092
SagnwichTop,1711114017.12555,0.354579925537109
DataProcessing,1711114017.48741,0.361860036849976
CP start,1711114017.83477,0.347359895706177
Does this change memory0,1711114018.17643,0.341660022735596
CP distance,1711114018.52292,0.346489906311035
CP cluster,1711114018.96906,0.446140050888062
CP cutree,1711114019.31287,0.343810081481934
CP calculation original,1711114019.67507,0.362200021743774
CP calculation,1711114019.99918,0.32411003112793
PreP3D 2_cp,1711114020.33209,0.332909822463989
PreP3D 2_bk,1711114020.69129,0.359200000762939
PreP3D 2_zc,1711114021.18179,0.490500211715698
Prio PreP3D,1711114021.52504,0.343249797821045
P3D Start,1711114021.89155,0.366510152816772
eig.L,1711114022.23891,0.347359895706177
eig.R,1711114022.57613,0.337219953536987
Trait,1711114022.9232,0.347069978713989
REMLE removed,1711114023.26378,0.340580224990845
U Matrix,1711114023.62111,0.357329845428467
eig.L removed,1711114024.31385,0.692739963531494
New Genotype file,1711114024.65685,0.343000173568726
Before cleaning,1711114025.04001,0.383159875869751
After cleaning,1711114026.22459,1.18458008766174
Memory allocation,1711114026.54704,0.322449922561646
Screening SNPs,1711114027.46006,0.913019895553589
GWAS done for this Trait,1711114027.83732,0.377260208129883
Post PreP3D,1711114028.17311,0.335789918899536
GWAS,1711114028.51747,0.344359874725342
Final,1711114029.18782,0.670350074768066
GPS,1711114029.54084,0.353019952774048
Compression.Visualization,1711114029.89552,0.354680061340332
Extract p3d results,1711114030.24351,0.347990036010742
Extract GWAS start,1711114030.58954,0.346029996871948
MAF filtered,1711114030.9374,0.347860097885132
Multiple Correction,1711114031.29137,0.353969812393188
QQ plot,1711114031.67273,0.381360054016113
Manhattan plot,1711114032.1031,0.430370092391968
Extract GWAS end,1711114032.47777,0.374670028686523
Report,1711114032.8289,0.35113000869751
