Infor,Time,Elapsed
GAPIT,1710509142.47203,0
Genotype start,1710509142.83498,0.362950086593628
Genotype loaded,1710509143.15113,0.316149950027466
GT created from GD),1710509143.76654,0.615410089492798
Sampling genotype,1710509144.07785,0.311310052871704
Before SUPER,1710509144.39536,0.317509889602661
Before creating kinship,1710509144.70874,0.313380002975464
Estimating kinship,1710509147.067,2.35825991630554
after creating kinship,1710509147.37534,0.308340072631836
Before LD plot,1710509147.67908,0.30374002456665
after LD plot,1710509147.97304,0.293960094451904
Genotype for all,1710509148.26739,0.294349908828735
QC,1710509150.53384,2.26644992828369
SagnwichTop,1710509150.83474,0.300899982452393
DataProcessing,1710509151.14113,0.306390047073364
CP start,1710509151.43508,0.293950080871582
Does this change memory0,1710509151.75734,0.322259902954102
CP distance,1710509152.06296,0.305619955062866
CP cluster,1710509152.51459,0.451630115509033
CP cutree,1710509152.84782,0.333230018615723
CP calculation original,1710509153.17582,0.328000068664551
CP calculation,1710509153.48555,0.309729814529419
PreP3D 2_cp,1710509153.7881,0.302550077438354
PreP3D 2_bk,1710509154.09894,0.310839891433716
PreP3D 2_zc,1710509154.56533,0.466390132904053
Prio PreP3D,1710509154.86738,0.302049875259399
P3D Start,1710509155.16931,0.30193018913269
eig.L,1710509155.47306,0.303749799728394
eig.R,1710509155.7881,0.315040111541748
Trait,1710509156.09283,0.30472993850708
REMLE removed,1710509156.39332,0.300490140914917
U Matrix,1710509156.69018,0.296859979629517
eig.L removed,1710509157.28644,0.596259832382202
New Genotype file,1710509157.58706,0.300620079040527
Before cleaning,1710509157.89861,0.311550140380859
After cleaning,1710509158.49509,0.596479892730713
Memory allocation,1710509158.78733,0.292239904403687
Screening SNPs,1710509159.16271,0.375380039215088
GWAS done for this Trait,1710509159.47074,0.308030128479004
Post PreP3D,1710509159.77147,0.300729990005493
GWAS,1710509160.07119,0.299720048904419
Final,1710509160.67132,0.600129842758179
GPS,1710509160.9762,0.304880142211914
Compression.Visualization,1710509161.29368,0.317479848861694
Extract p3d results,1710509161.6047,0.311020135879517
Extract GWAS start,1710509161.90299,0.298290014266968
MAF filtered,1710509162.20801,0.305019855499268
Multiple Correction,1710509162.51699,0.308979988098145
QQ plot,1710509162.87729,0.360300064086914
Manhattan plot,1710509163.31861,0.441319942474365
Extract GWAS end,1710509163.65397,0.335360050201416
Report,1710509163.98186,0.327889919281006
