<Trait>	Heritability_0.9_Rep_1	Heritability_0.9_Rep_2	Heritability_0.9_Rep_3	Heritability_0.9_Rep_4	Heritability_0.9_Rep_5	Heritability_0.9_Rep_6	Heritability_0.9_Rep_7	Heritability_0.9_Rep_8	Heritability_0.9_Rep_9	Heritability_0.9_Rep_10
4226	-0.956695126121232	61.2012199886977	56.1922826585441	70.4866525044798	-1.05415306876149	54.6045147635414	20.662067778153	58.5864301820253	46.1824526387638	67.6120512189407
4722	14.138317944855	23.8584347078294	54.4844657413002	45.6351142735247	-20.8094945862325	-13.1829041809354	42.7540790941418	18.9051421500512	37.8589640269288	32.4873727051434
33-16	32.7186426500577	17.2286175165053	-24.6125602963518	-31.4844552508695	51.4299904611102	8.10969574799302	12.026201588729	32.5154383336165	13.7019261208388	0.611500456002919
38-11	66.2129878183434	56.844612787716	77.7957046282836	43.5725246044659	-19.4991431419922	87.1035192842873	55.7009020449868	79.8026884869891	42.9406862835834	37.6298936088784
A188	70.1336200457995	89.6562738968393	93.1821510408705	65.5597145120992	113.909350873626	78.9042780201434	11.7597948126544	89.8671670019078	67.5993448239443	90.5907778624825
A239	50.6399809013558	-8.86275618016474	-23.2668854438539	9.75746790660799	2.9464683613359	65.6772981062592	11.3264795068416	14.2874740473836	4.87958036691463	41.804648746907
A441-5	56.0792491159403	111.622002580751	125.603536907286	134.575125476051	121.997017208335	152.052412333204	108.852537373814	137.51801527194	145.33605813921	138.239268605606
A554	136.963387625341	131.660216516405	169.656115008203	132.622390881396	120.981205019294	86.2306977215286	102.501391455375	117.44443434812	111.616709470614	153.351041461355
A6	97.3236137053962	77.6288406564993	131.037696607814	122.823905748457	135.159111664063	126.257346977466	128.368954469407	110.782725131866	70.255328489597	96.0625404149522
A619	-89.9914568662632	-117.762412475633	-169.184320962468	-163.289175918525	-175.451355789181	-95.5339364137637	-141.622890013247	-128.800602691433	-124.935542042042	-151.294868624548
A632	-62.4555362575213	-68.3235494511089	-17.3085511020741	-30.3215878295785	-44.1192438044233	-41.4883759936556	-74.6258959270848	-73.7329455508147	-63.3339167260202	-41.457036521453
A634	-91.1368033100828	-57.9115575301908	-31.9479501457116	-23.9540119360568	-36.4276210089116	-71.783212241856	-62.4283195068929	-98.8199360269215	-20.9642217333623	-27.7848305732158
A635	8.93094868749781	4.40994994225519	-43.5950238053759	-9.61402634788297	47.517051579857	11.4985506238463	30.7945658150529	-12.6764215453587	-9.54958717108809	-51.1542393596744
A641	-26.5425375069995	-15.9985235741331	-9.80720742754565	27.4834306210583	-44.0584449633613	-75.3864947841704	-43.2650601059411	-2.00638787851806	-27.7514218099624	-15.8877439306328
A654	-65.2640405431135	-76.8697948871629	-51.9693880144542	-113.288353907999	-41.7810626218408	-58.9435750354069	-13.8555684623103	-26.9150263423131	-28.316151606621	-2.00332726902031
A659	22.1427545765174	12.5523929570397	-5.46994143121065	13.2846044685546	0.321987603910525	-6.42424895739988	9.68162708912468	-3.3475661051126	5.05127086656139	-16.4245293269451
A661	80.8320860141473	116.616253385206	84.0083797165977	83.8623119505567	101.367371610366	67.6315200571934	61.7449124398597	82.1197446931617	106.079290446842	95.397086331202
A679	36.4289228492001	20.2907840728972	18.6454093321753	22.3469379004819	57.9581324598907	46.4898729410391	81.4657429143619	66.0665568551215	50.719329648245	31.3860483947559
A680	-49.3497484618378	-16.8905846369904	33.8235507530964	33.7497300787279	-12.785996532957	8.82231088536111	-9.33936215177933	-24.4258143951558	49.0065032723236	51.9448217493878
A682	49.4651938737649	49.5353251385799	78.1328357031208	6.06276509720316	7.67060362003062	57.4546383432286	21.4894864741235	98.7351957900367	59.5007510977613	72.6460228894757
AB28A	56.5521229144365	61.6617326388003	59.9822008390063	69.0263060972607	76.7278395919438	93.5882690108609	70.0675137666926	74.3791498942091	37.8523829759462	60.7521900012301
B10	35.9598219840321	48.7150923194126	54.5605521748812	115.298184615957	60.125678813878	80.9138536968292	54.6255550407926	88.920245418073	95.1994928493941	38.0599784208773
B103	-1.3332058770847	7.24260803616907	-23.7193880189153	-53.2961481217274	-52.7015931856469	-12.6872468383118	-23.4043692065942	55.0789749626473	-50.3377576291701	-10.0046684911936
B104	39.3343882381462	2.59420173687013	-34.4125822978435	-73.5652685706635	16.6923665462695	-54.3381698388773	-2.43006284829952	-0.548809899810845	-7.00188723138076	4.87381225228389
B105	71.1304856433318	73.2393386990866	91.2383689602054	86.5552435419583	86.5012674090042	87.5001811356391	71.9623161428626	64.6629773190681	100.658130453135	55.7438833890914
B109	102.092805274759	106.779458731621	145.613566300889	152.094259194505	132.503621580101	141.087933745663	103.372685485821	96.0157298647952	116.172718550096	107.663270659034
B115	25.2315414625268	46.3909335396439	39.4347417633071	-25.7887852059886	0.0413462816895898	29.6867784695697	-0.0807773240346528	-6.77113015330223	-9.05272789916989	40.8483148489903
B14A	-107.638117993692	-109.677717080537	-78.602832103082	-82.649594231348	-96.5711399863368	-30.158590074476	-37.3420850221181	-69.3711407449958	-103.088742039927	-103.90820258521
B164	151.355365864653	140.564424079346	137.414527358402	123.622496566849	125.846922304083	110.566120831004	192.139289711671	154.812277284962	176.025147637746	148.97388242385
B2	63.5921139407221	68.1388722220285	39.3921728311332	80.4868628643749	59.2310472386397	31.7999582981924	29.6181514738361	74.0449477323211	44.9198179562602	57.895847667693
B37	170.382123768965	142.823649170332	164.058399212819	106.63746188035	191.41839865296	127.154016818422	114.996369472953	114.196539002734	107.469246925487	108.096011579708
B46	32.0597233036817	-12.3328114721979	-5.23108974680756	15.9946637272283	-1.30009261525663	-3.27935430919768	12.7841574442965	59.8269525196611	-0.168949173469249	9.41735087028247
B52	-16.0702482578354	-20.6406846937209	-30.7077685678665	-61.1812056202427	-38.0799898700513	-40.1866562784973	-16.1442852923568	-77.9000441180075	-79.9276099486084	-40.269377118597
B57	-80.6614133189869	-99.7612739102264	-115.381374475919	-88.6124673232173	-105.703460183174	-133.808569649624	-143.329239656984	-91.6944611709455	-112.724913654331	-67.6395156684311
B64	-94.5962414852079	-108.126563240545	-106.814520383159	-96.4815409792484	-85.4166723804172	-80.3231717461818	-81.2415511419105	-98.2231984149806	-96.75699147351	-123.826311515226
B68	-51.7895380872887	-6.05730221946923	-41.3014462377222	-4.40394403462756	32.3448357850758	-22.7859786427235	15.5836218586044	-49.1037782862286	-11.0532174261413	-49.9582314874206
B73	31.5198418713247	23.4661053949295	40.5281100836699	4.24410166684111	42.1648611430455	38.2487499921783	9.92754258479449	37.6459645209126	14.8022707519205	29.2537581634275
B73HTRHM	70.397574458185	75.5878539305654	53.8027385410924	26.2023006116558	87.275069888966	77.2259493444526	38.2346807761704	21.534147046608	69.9813076073202	37.412262226598
B75	-70.7457135512316	-72.2526349120273	-86.938009466191	-60.0636553865447	-33.5001080759177	6.67334847683712	-43.3950296577901	-8.60920234372863	-70.0325936941207	-35.502986667262
B76	141.705926518587	192.992765924941	141.880202867893	175.22735346017	145.334785938644	211.852916959216	146.989942351825	207.804510147365	214.237152170793	160.774468762284
B77	-131.623395960802	-87.08822716506	-138.244106207355	-96.8268632095695	-77.6546564557046	-124.328580652359	-129.554362696828	-96.2125953882384	-114.940680461899	-161.304775088524
B79	-16.5271067397404	-64.9469711071245	-60.2256465750592	-41.8563814659412	-15.9810475896314	-75.7452668659136	-34.4416165409909	-9.79208554198011	-40.9976672166879	-43.7172506468723
B84	80.3335901862491	45.7126418906905	35.207809530127	74.3390114015713	-26.7785604437605	10.6691212142696	42.6239557720404	35.1961017679579	66.4576764748778	44.1453806593043
B97	23.9153735186699	-3.49951664160252	22.1083817384221	-10.3337924582969	34.5203176998475	6.54693416179854	-9.94618090348082	-3.41267205146275	17.7431199534495	-51.0162148237601
C103	-79.9763144981323	-102.22269802916	-32.6874964267244	-34.6935736677826	-52.4967131257326	-76.1392711682168	-35.7633236703785	-95.1655601775795	-38.5094036178875	-77.4709374904657
C123	-109.828172529234	-78.911817139864	-108.223040479169	-71.437560183669	-110.053377422012	-78.9418013477138	-104.818071018473	-69.9128677133839	-80.3304341348371	-74.8539991684735
C49A	121.265391828196	142.227881150058	142.088826331567	183.551947745778	126.011153441003	208.033864914411	108.846846535068	129.467574762648	146.058475743666	167.544427120416
CH701-30	-142.994492599961	-127.943114929223	-121.294190557736	-75.2280254663493	-84.99346258592	-121.314327438661	-65.7515809304325	-116.744280072533	-151.644661956991	-145.561646131265
CH9	-13.9408049744996	1.85453508262291	-21.9645344662839	-52.4896006655567	10.3807251248705	-28.3918744409705	1.83175096759159	2.67861088268754	-44.4355940187666	2.42030121494505
